<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CMS_C.US,5,20211104,143000,25.09,25.09,25.09,25.09,140,0
CMS_C.US,5,20211104,145000,25.05,25.05,25.05,25.05,1000,0
CMS_C.US,5,20211104,150000,25.0775,25.0775,25.0775,25.0775,600,0
CMS_C.US,5,20211104,150500,25.09,25.09,25.09,25.09,1066,0
CMS_C.US,5,20211104,151500,25.08,25.08,25.08,25.08,800,0
CMS_C.US,5,20211104,152000,25.08,25.08,25.08,25.08,734,0
CMS_C.US,5,20211104,152500,25.08,25.1162,25.08,25.1,4890,0
CMS_C.US,5,20211104,153000,25.1,25.1,25.1,25.1,529,0
CMS_C.US,5,20211104,154000,25.1,25.1,25.1,25.1,200,0
CMS_C.US,5,20211104,154500,25.0966,25.1,25.0966,25.1,2221,0
CMS_C.US,5,20211104,163500,25.05,25.05,25.05,25.05,436,0
CMS_C.US,5,20211104,164000,25.0529,25.08,25.05,25.05,3975,0
CMS_C.US,5,20211104,164500,25.0541,25.062,25.05,25.062,2300,0
CMS_C.US,5,20211104,165000,25.08,25.08,25.08,25.08,480,0
CMS_C.US,5,20211104,165500,25.08,25.08,25.08,25.08,400,0
CMS_C.US,5,20211104,170000,25.05,25.0713,25.05,25.0713,300,0
CMS_C.US,5,20211104,171000,25.08,25.08,25.0599,25.0599,1100,0
CMS_C.US,5,20211104,172500,25.0777,25.08,25.07,25.07,5100,0
CMS_C.US,5,20211104,175000,25.07,25.07,25.07,25.07,214,0
CMS_C.US,5,20211104,175500,25.0788,25.0788,25.0788,25.0788,1200,0
CMS_C.US,5,20211104,181500,25.06,25.06,25.06,25.06,126,0
CMS_C.US,5,20211104,182500,25.08,25.08,25.08,25.08,500,0
CMS_C.US,5,20211104,184000,25.08,25.08,25.07,25.07,1141,0
CMS_C.US,5,20211104,184500,25.08,25.08,25.08,25.08,1110,0
CMS_C.US,5,20211104,185000,25.07,25.07,25.07,25.07,344,0
CMS_C.US,5,20211104,185500,25.0794,25.0794,25.0794,25.0794,167,0
CMS_C.US,5,20211104,190500,25.08,25.12,25.0799,25.0799,3556,0
CMS_C.US,5,20211104,191000,25.1,25.108,25.1,25.108,2886,0
CMS_C.US,5,20211104,191500,25.1,25.1,25.1,25.1,200,0
CMS_C.US,5,20211104,192000,25.1,25.12,25.1,25.105,2000,0
CMS_C.US,5,20211104,192500,25.1038,25.1038,25.1038,25.1038,500,0
CMS_C.US,5,20211104,193000,25.1,25.105,25.1,25.1,500,0
CMS_C.US,5,20211104,193500,25.0872,25.0872,25.0872,25.0872,100,0
CMS_C.US,5,20211104,194000,25.1,25.1,25.1,25.1,333,0
CMS_C.US,5,20211104,194500,25.1,25.1,25.1,25.1,300,0
CMS_C.US,5,20211104,202500,25.1,25.105,25.1,25.105,1313,0
CMS_C.US,5,20211104,203500,25.095,25.1,25.095,25.1,500,0
CMS_C.US,5,20211104,204000,25.09,25.09,25.08,25.09,1129,0
CMS_C.US,5,20211104,205500,25.09,25.1,25.02,25.02,1507,0
CMS_C.US,5,20211105,145000,25.15,25.15,25.15,25.15,625,0
CMS_C.US,5,20211105,150500,25.11,25.11,25.1,25.1,396,0
CMS_C.US,5,20211105,151500,25.12,25.12,25.12,25.12,500,0
CMS_C.US,5,20211105,153000,25.1,25.105,25.08,25.105,1979,0
CMS_C.US,5,20211105,154500,25.128,25.14,25.128,25.128,1000,0
CMS_C.US,5,20211105,155000,25.11,25.11,25.11,25.11,1250,0
CMS_C.US,5,20211105,160000,25.08,25.08,25.08,25.08,410,0
CMS_C.US,5,20211105,160500,25.0605,25.0605,25.0605,25.0605,800,0
CMS_C.US,5,20211105,161500,25.0501,25.1089,25.0501,25.1089,1400,0
CMS_C.US,5,20211105,162000,25.095,25.095,25.095,25.095,231,0
CMS_C.US,5,20211105,162500,25.095,25.095,25.095,25.095,500,0
CMS_C.US,5,20211105,163500,25.1195,25.1195,25.1195,25.1195,1560,0
