<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CND-U.US,5,20211104,144500,15.1,15.14,15.01,15.1,1753,0
CND-U.US,5,20211104,145000,15.125,15.28,15.125,15.15,3100,0
CND-U.US,5,20211104,145500,15.2,15.2025,15.13,15.13,1500,0
CND-U.US,5,20211104,150000,15.13,15.13,15.13,15.13,200,0
CND-U.US,5,20211104,150500,15.13,15.13,15.0904,15.0904,2070,0
CND-U.US,5,20211104,151500,15.08,15.205,15.08,15.205,2000,0
CND-U.US,5,20211104,152000,15.074,15.074,15.06,15.06,1100,0
CND-U.US,5,20211104,153500,14.92,14.92,14.91,14.91,200,0
CND-U.US,5,20211104,154000,14.77,14.77,14.66,14.66,300,0
CND-U.US,5,20211104,154500,14.55,14.55,14.55,14.55,100,0
CND-U.US,5,20211104,155000,14.41,14.41,14.41,14.41,100,0
CND-U.US,5,20211104,161500,14.5,14.5,14.5,14.5,250,0
CND-U.US,5,20211104,162500,14.27,14.27,14.27,14.27,100,0
CND-U.US,5,20211104,164500,14.1,14.1,14.09,14.1,800,0
CND-U.US,5,20211104,170500,14.41,14.43,14.41,14.43,450,0
CND-U.US,5,20211104,172500,14.56,14.57,14.56,14.57,300,0
CND-U.US,5,20211104,180500,14.43,14.43,14.43,14.43,200,0
CND-U.US,5,20211104,183000,14.34,14.34,14.33,14.33,1300,0
CND-U.US,5,20211104,201500,14.42,14.42,14.42,14.42,100,0
CND-U.US,5,20211104,202500,14.42,14.42,14.42,14.42,387,0
CND-U.US,5,20211105,143500,14.54,14.54,14.54,14.54,630,0
CND-U.US,5,20211105,150000,14.54,14.54,14.54,14.54,150,0
CND-U.US,5,20211105,154000,14.39,14.39,14.37,14.37,300,0
CND-U.US,5,20211105,160000,14.3,14.3004,14.3,14.3004,704,0
CND-U.US,5,20211105,162000,14.3,14.31,14.3,14.31,400,0
CND-U.US,5,20211105,172500,14.29,14.29,14.29,14.29,100,0
CND-U.US,5,20211105,180000,14.17,14.17,14.17,14.17,200,0
CND-U.US,5,20211105,181500,14.08,14.08,14.08,14.08,200,0
CND-U.US,5,20211105,204500,14.32,14.32,14.32,14.32,100,0
CND-U.US,5,20211108,153000,14.44,14.44,14.44,14.44,100,0
CND-U.US,5,20211108,153500,14.6,14.64,14.6,14.64,500,0
CND-U.US,5,20211109,165500,14.62,14.62,14.62,14.62,100,0
CND-U.US,5,20211109,171500,14.62,14.62,14.62,14.62,100,0
CND-U.US,5,20211109,172000,14.77,14.77,14.77,14.77,135,0
CND-U.US,5,20211109,173500,14.95,14.96,14.95,14.96,200,0
CND-U.US,5,20211109,174000,15.14,15.14,15.14,15.14,100,0
CND-U.US,5,20211109,180000,14.96,14.96,14.96,14.96,200,0
CND-U.US,5,20211109,195500,14.78,14.78,14.78,14.78,100,0
CND-U.US,5,20211109,211500,14.75,14.75,14.75,14.75,700,0
CND-U.US,5,20211109,214500,14.715,14.72,14.65,14.66,24090,0
CND-U.US,5,20211109,215000,14.65,14.65,14.65,14.65,4200,0
CND-U.US,5,20211109,215500,14.65,14.65,14.65,14.65,15100,0
CND-U.US,5,20211110,153000,14.67,14.67,14.67,14.67,100,0
CND-U.US,5,20211110,155000,14.49,14.49,14.49,14.49,100,0
CND-U.US,5,20211110,160000,14.47,14.5,14.47,14.5,3950,0
CND-U.US,5,20211110,160500,14.5,14.5,14.5,14.5,6200,0
CND-U.US,5,20211110,161500,14.5,14.5,14.5,14.5,19000,0
CND-U.US,5,20211110,162500,14.57,14.57,14.57,14.57,100,0
CND-U.US,5,20211110,203000,14.44,14.44,14.44,14.44,197,0
CND-U.US,5,20211110,205500,14.385,14.385,14.385,14.385,100,0
CND-U.US,5,20211110,210500,14.35,14.35,14.35,14.35,1500,0
CND-U.US,5,20211111,155000,13.99,13.99,13.99,13.99,300,0
CND-U.US,5,20211111,160500,13.8,13.8,13.8,13.8,100,0
CND-U.US,5,20211111,163500,13.84,13.84,13.84,13.84,100,0
CND-U.US,5,20211111,170500,13.61,13.61,13.59,13.59,385,0
CND-U.US,5,20211111,171500,13.61,13.61,13.61,13.61,140,0
CND-U.US,5,20211111,185000,13.55,13.55,13.55,13.55,100,0
CND-U.US,5,20211111,204500,13.5818,13.5818,13.5818,13.5818,500,0
CND-U.US,5,20211112,180000,14.11,14.11,14.11,14.11,158,0
CND-U.US,5,20211115,214000,13.8,13.8,13.8,13.8,208,0
CND-U.US,5,20211117,160500,13.79,13.79,13.79,13.79,125,0
CND-U.US,5,20211117,191000,13.5,13.5,13.45,13.45,766,0
CND-U.US,5,20211117,193000,13.41,13.41,13.41,13.41,400,0
CND-U.US,5,20211117,194000,13.6747,13.6747,13.6747,13.6747,400,0
CND-U.US,5,20211117,213500,13.2,13.2,13.2,13.2,100,0
CND-U.US,5,20211118,172000,12.75,12.75,12.75,12.75,100,0
CND-U.US,5,20211118,185000,12.69,12.69,12.68,12.69,800,0
CND-U.US,5,20211119,172000,13.54,13.6,13.54,13.6,1086,0
CND-U.US,5,20211119,192000,13.51,13.51,13.51,13.51,400,0
CND-U.US,5,20211119,193500,13.6379,13.6379,13.6379,13.6379,200,0
CND-U.US,5,20211119,211500,13.5001,13.675,13.5001,13.675,400,0
CND-U.US,5,20211119,212000,13.675,13.675,13.675,13.675,200,0
CND-U.US,5,20211119,215500,13.52,13.52,13.52,13.52,100,0
CND-U.US,5,20211122,153000,13.6,13.6,13.58,13.58,257,0
CND-U.US,5,20211122,154000,13.38,13.38,13.38,13.38,200,0
CND-U.US,5,20211122,161500,13.16,13.16,13.13,13.13,200,0
CND-U.US,5,20211122,162000,13.01,13.01,13,13,300,0
CND-U.US,5,20211122,171000,12.97,12.97,12.96,12.96,300,0
CND-U.US,5,20211122,171500,13.01,13.01,13,13,200,0
CND-U.US,5,20211123,174000,12.9,12.9,12.9,12.9,100,0
CND-U.US,5,20211123,175500,13.1181,13.1181,13.1181,13.1181,760,0
CND-U.US,5,20211123,191500,12.65,12.65,12.65,12.65,1536,0
CND-U.US,5,20211124,154000,12.9,12.9,12.9,12.9,400,0
CND-U.US,5,20211124,160500,12.97,12.97,12.97,12.97,900,0
CND-U.US,5,20211124,211000,13.31,13.35,13.31,13.35,400,0
CND-U.US,5,20211126,153000,13.07,13.4,13.07,13.14,1200,0
CND-U.US,5,20211126,155000,13.0765,13.0765,13,13,200,0
CND-U.US,5,20211126,155500,12.95,13,12.95,13,1300,0
CND-U.US,5,20211126,160500,12.9,12.9,12.9,12.9,100,0
CND-U.US,5,20211126,163000,12.9,12.9,12.9,12.9,170,0
CND-U.US,5,20211126,164000,12.8,12.8,12.695,12.7,1100,0
CND-U.US,5,20211126,165000,12.6999,12.7,12.6999,12.7,300,0
CND-U.US,5,20211126,183500,12.7,12.89,12.7,12.89,300,0
CND-U.US,5,20211126,185500,12.89,12.89,12.89,12.89,130,0
CND-U.US,5,20211129,160500,13.245,13.245,13.245,13.245,200,0
CND-U.US,5,20211129,165500,12.4903,12.4903,12.4903,12.4903,300,0
CND-U.US,5,20211130,153000,13,13,13,13,100,0
CND-U.US,5,20211130,154000,13.3,13.32,13.3,13.32,200,0
CND-U.US,5,20211130,160500,13.52,13.52,13.52,13.52,194,0
