<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CNDA-U.US,5,20211104,161500,10.1721,10.1721,10.1721,10.1721,200,0
CNDA-U.US,5,20211104,164000,10.13,10.14,10.1,10.1,474600,0
CNDA-U.US,5,20211104,170500,10.14,10.14,10.14,10.14,1000,0
CNDA-U.US,5,20211104,172500,10.15,10.17,10.13,10.14,11000,0
CNDA-U.US,5,20211104,174000,10.145,10.145,10.145,10.145,800,0
CNDA-U.US,5,20211104,185500,10.14,10.14,10.14,10.14,1150,0
CNDA-U.US,5,20211104,203000,10.11,10.11,10.11,10.11,590,0
CNDA-U.US,5,20211108,203500,10.15,10.15,10.13,10.13,300,0
CNDA-U.US,5,20211108,205500,10.12,10.12,10.12,10.12,200,0
CNDA-U.US,5,20211108,210000,10.12,10.12,10.12,10.12,700,0
CNDA-U.US,5,20211108,210500,10.12,10.12,10.12,10.12,700,0
CNDA-U.US,5,20211108,211000,10.12,10.12,10.12,10.12,700,0
CNDA-U.US,5,20211108,211500,10.12,10.12,10.12,10.12,800,0
CNDA-U.US,5,20211108,212000,10.12,10.12,10.12,10.12,800,0
CNDA-U.US,5,20211108,212500,10.12,10.12,10.12,10.12,1000,0
CNDA-U.US,5,20211108,213000,10.12,10.13,10.12,10.13,1000,0
CNDA-U.US,5,20211108,213500,10.13,10.13,10.12,10.12,1200,0
CNDA-U.US,5,20211108,214000,10.12,10.12,10.11,10.11,1300,0
CNDA-U.US,5,20211108,214500,10.11,10.11,10.11,10.11,1600,0
CNDA-U.US,5,20211108,215000,10.11,10.11,10.11,10.11,2500,0
CNDA-U.US,5,20211108,215500,10.11,10.11,10.11,10.11,6100,0
CNDA-U.US,5,20211109,160500,10.11,10.11,10.11,10.11,100,0
CNDA-U.US,5,20211109,161000,10.11,10.11,10.11,10.11,300,0
CNDA-U.US,5,20211109,161500,10.11,10.11,10.11,10.11,200,0
CNDA-U.US,5,20211109,162000,10.11,10.11,10.11,10.11,300,0
CNDA-U.US,5,20211109,162500,10.11,10.11,10.11,10.11,200,0
CNDA-U.US,5,20211109,163000,10.11,10.11,10.11,10.11,300,0
CNDA-U.US,5,20211109,163500,10.11,10.11,10.11,10.11,200,0
CNDA-U.US,5,20211109,164000,10.11,10.11,10.11,10.11,200,0
CNDA-U.US,5,20211109,164500,10.11,10.11,10.11,10.11,300,0
CNDA-U.US,5,20211109,165000,10.1,10.1,10.04,10.04,200,0
CNDA-U.US,5,20211109,165500,10.04,10.04,10.04,10.04,200,0
CNDA-U.US,5,20211109,170000,10.04,10.04,10.04,10.04,300,0
CNDA-U.US,5,20211109,170500,10.04,10.04,10.04,10.04,200,0
CNDA-U.US,5,20211109,171000,10.04,10.04,10.04,10.04,300,0
CNDA-U.US,5,20211109,171500,10.04,10.04,10.04,10.04,200,0
CNDA-U.US,5,20211109,172000,10.04,10.04,10.04,10.04,200,0
CNDA-U.US,5,20211109,172500,10.04,10.04,10.04,10.04,200,0
CNDA-U.US,5,20211109,173000,10.04,10.04,10.04,10.04,200,0
CNDA-U.US,5,20211109,173500,10.04,10.04,10.04,10.04,200,0
CNDA-U.US,5,20211109,174000,10.04,10.06,10.04,10.06,200,0
CNDA-U.US,5,20211109,174500,10.06,10.06,10.06,10.06,200,0
CNDA-U.US,5,20211109,175000,10.06,10.06,10.06,10.06,200,0
CNDA-U.US,5,20211109,175500,10.06,10.06,10.06,10.06,200,0
CNDA-U.US,5,20211109,180000,10.06,10.06,10.06,10.06,200,0
CNDA-U.US,5,20211109,180500,10.06,10.06,10.06,10.06,100,0
CNDA-U.US,5,20211109,181000,10.06,10.06,10.06,10.06,200,0
CNDA-U.US,5,20211109,181500,10.06,10.06,10.06,10.06,200,0
CNDA-U.US,5,20211109,182000,10.06,10.06,10.06,10.06,100,0
CNDA-U.US,5,20211109,182500,10.06,10.06,10.06,10.06,200,0
CNDA-U.US,5,20211109,183000,10.06,10.06,10.06,10.06,200,0
CNDA-U.US,5,20211109,183500,10.06,10.06,10.06,10.06,100,0
CNDA-U.US,5,20211109,184000,10.06,10.06,10.06,10.06,200,0
CNDA-U.US,5,20211109,184500,10.06,10.06,10.06,10.06,200,0
CNDA-U.US,5,20211109,185000,10.06,10.06,10.06,10.06,100,0
CNDA-U.US,5,20211109,185500,10.06,10.06,10.06,10.06,200,0
CNDA-U.US,5,20211109,190000,10.06,10.06,10.06,10.06,200,0
CNDA-U.US,5,20211109,190500,10.06,10.06,10.06,10.06,100,0
CNDA-U.US,5,20211109,193000,10.06,10.06,10.06,10.06,100,0
CNDA-U.US,5,20211109,193500,10.06,10.06,10.06,10.06,100,0
CNDA-U.US,5,20211109,194000,10.06,10.06,10.06,10.06,200,0
CNDA-U.US,5,20211109,194500,10.06,10.06,10.06,10.06,200,0
CNDA-U.US,5,20211109,200000,10.06,10.06,10.06,10.06,100,0
CNDA-U.US,5,20211109,200500,10.06,10.06,10.06,10.06,100,0
CNDA-U.US,5,20211109,201000,10.06,10.06,10.06,10.06,100,0
CNDA-U.US,5,20211109,201500,10.06,10.06,10.06,10.06,200,0
CNDA-U.US,5,20211109,202000,10.06,10.06,10.06,10.06,100,0
CNDA-U.US,5,20211109,202500,10.06,10.06,10.06,10.06,100,0
CNDA-U.US,5,20211109,204500,10.06,10.06,10.06,10.06,100,0
CNDA-U.US,5,20211109,210500,10.06,10.06,10.06,10.06,128,0
CNDA-U.US,5,20211109,212000,10.06,10.06,10.06,10.06,212,0
CNDA-U.US,5,20211109,212500,10.06,10.06,10.06,10.06,200,0
CNDA-U.US,5,20211109,213000,10.06,10.06,10.06,10.06,300,0
CNDA-U.US,5,20211109,213500,10.06,10.06,10.06,10.06,200,0
CNDA-U.US,5,20211109,214000,10.06,10.06,10.06,10.06,400,0
CNDA-U.US,5,20211109,214500,10.06,10.06,10.06,10.06,100,0
CNDA-U.US,5,20211109,215000,10.06,10.06,10.06,10.06,104,0
CNDA-U.US,5,20211109,215500,10.06,10.06,9.95,9.95,5898,0
CNDA-U.US,5,20211110,153000,10.12,10.12,10.07,10.12,3400,0
CNDA-U.US,5,20211110,162000,10.13,10.13,10.13,10.13,100,0
CNDA-U.US,5,20211110,162500,10.13,10.13,10.13,10.13,200,0
CNDA-U.US,5,20211110,163000,10.13,10.13,10.13,10.13,300,0
CNDA-U.US,5,20211110,163500,10.13,10.13,10.13,10.13,200,0
CNDA-U.US,5,20211110,164000,10.13,10.13,10.13,10.13,300,0
CNDA-U.US,5,20211110,164500,10.13,10.13,10.13,10.13,200,0
CNDA-U.US,5,20211110,165000,10.13,10.13,10.13,10.13,300,0
CNDA-U.US,5,20211110,165500,10.13,10.13,10.13,10.13,200,0
CNDA-U.US,5,20211110,170000,10.13,10.13,10.13,10.13,300,0
CNDA-U.US,5,20211110,170500,10.13,10.13,10.13,10.13,200,0
CNDA-U.US,5,20211110,171000,10.13,10.13,10.12,10.13,400,0
CNDA-U.US,5,20211110,171500,10.13,10.13,10.13,10.13,200,0
CNDA-U.US,5,20211110,172000,10.13,10.13,10.13,10.13,300,0
CNDA-U.US,5,20211110,172500,10.13,10.13,10.13,10.13,200,0
CNDA-U.US,5,20211110,173000,10.13,10.13,10.13,10.13,300,0
CNDA-U.US,5,20211110,173500,10.13,10.13,10.13,10.13,300,0
CNDA-U.US,5,20211110,174000,10.13,10.13,10.13,10.13,300,0
CNDA-U.US,5,20211110,174500,10.12,10.12,10.12,10.12,200,0
CNDA-U.US,5,20211110,175000,10.12,10.12,10.12,10.12,300,0
CNDA-U.US,5,20211110,175500,10.12,10.12,10.12,10.12,200,0
CNDA-U.US,5,20211110,180000,10.12,10.12,10.12,10.12,300,0
CNDA-U.US,5,20211110,180500,10.12,10.12,10.12,10.12,200,0
CNDA-U.US,5,20211110,181000,10.12,10.13,10.12,10.13,300,0
CNDA-U.US,5,20211110,181500,10.13,10.13,10.12,10.12,300,0
CNDA-U.US,5,20211110,182000,10.12,10.12,10.12,10.12,300,0
CNDA-U.US,5,20211110,182500,10.12,10.12,10.12,10.12,200,0
CNDA-U.US,5,20211110,183000,10.12,10.13,10.12,10.13,300,0
CNDA-U.US,5,20211110,183500,10.13,10.13,10.13,10.13,200,0
CNDA-U.US,5,20211110,184000,10.13,10.13,10.13,10.13,300,0
CNDA-U.US,5,20211110,184500,10.13,10.13,10.12,10.12,300,0
CNDA-U.US,5,20211110,185000,10.12,10.12,10.12,10.12,300,0
CNDA-U.US,5,20211110,185500,10.12,10.12,10.12,10.12,200,0
CNDA-U.US,5,20211110,190000,10.12,10.12,10.12,10.12,300,0
CNDA-U.US,5,20211110,190500,10.12,10.12,10.12,10.12,300,0
CNDA-U.US,5,20211110,191000,10.11,10.11,10.11,10.11,300,0
CNDA-U.US,5,20211110,191500,10.11,10.11,10.11,10.11,200,0
CNDA-U.US,5,20211110,192000,10.11,10.11,10.11,10.11,300,0
CNDA-U.US,5,20211110,192500,10.11,10.11,10.11,10.11,200,0
CNDA-U.US,5,20211110,193000,10.11,10.11,10.11,10.11,300,0
CNDA-U.US,5,20211110,193500,10.11,10.11,10.1,10.11,400,0
CNDA-U.US,5,20211110,194000,10.11,10.11,10.11,10.11,300,0
CNDA-U.US,5,20211110,194500,10.11,10.11,10.11,10.11,200,0
