<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CTA_A.US,5,20211105,190500,93.4665,93.4665,93.4665,93.4665,100,0
CTA_A.US,5,20211108,171500,93.9999,94,93.9875,93.9875,1422,0
CTA_A.US,5,20211108,174500,93.9999,93.9999,93.9999,93.9999,100,0
CTA_A.US,5,20211108,192500,94,94,94,94,110,0
CTA_A.US,5,20211108,210500,93.96,93.96,93.708,93.708,200,0
CTA_A.US,5,20211108,215000,94,94,94,94,100,0
CTA_A.US,5,20211111,155500,94,94,94,94,200,0
CTA_A.US,5,20211111,213000,93.6,93.6,93.6,93.6,100,0
CTA_A.US,5,20211111,213500,93.7662,93.7662,93.7662,93.7662,150,0
CTA_A.US,5,20211112,212500,93.75,93.75,93.75,93.75,100,0
CTA_A.US,5,20211115,153000,94,94,94,94,120,0
CTA_A.US,5,20211115,173000,93.75,93.75,93.75,93.75,200,0
CTA_A.US,5,20211115,192000,93.75,93.75,93.75,93.75,100,0
CTA_A.US,5,20211115,200500,93.75,93.75,93.75,93.75,100,0
CTA_A.US,5,20211115,203500,93.75,93.75,93.75,93.75,100,0
CTA_A.US,5,20211116,184500,94,94,93.9999,93.9999,989,0
CTA_A.US,5,20211116,203500,93.9999,93.9999,93.9999,93.9999,200,0
CTA_A.US,5,20211119,193500,93.45,93.45,93.45,93.45,647,0
CTA_A.US,5,20211122,170000,93.6,93.6,93.6,93.6,100,0
CTA_A.US,5,20211122,194500,94,94,94,94,195,0
CTA_A.US,5,20211124,175000,93.7,93.7,93.7,93.7,200,0
CTA_A.US,5,20211126,153000,94,94,94,94,360,0
CTA_A.US,5,20211130,195500,93.24,93.24,93.24,93.24,100,0
CTA_A.US,5,20211201,202000,93.96,94,93.732,93.732,800,0
CTA_A.US,5,20211201,214500,93.25,93.25,93.25,93.25,100,0
CTA_A.US,5,20211206,172000,94,94,94,94,180,0
CTA_A.US,5,20211207,174000,93.62,93.62,93.62,93.62,100,0
CTA_A.US,5,20211208,190500,93.5907,93.5907,93.5907,93.5907,100,0
CTA_A.US,5,20211213,203000,93.93,93.95,93.93,93.95,854,0
CTA_A.US,5,20211214,164000,93.75,93.75,93.75,93.75,100,0
CTA_A.US,5,20211214,185000,93.6,93.6,93.6,93.6,140,0
CTA_A.US,5,20211215,182000,93.5711,93.5711,93.5711,93.5711,250,0
CTA_A.US,5,20211215,191500,94,94,94,94,194,0
CTA_A.US,5,20211215,203500,93.9999,94,93.9999,93.9999,568,0
CTA_A.US,5,20211215,210500,94,94,93.9999,93.9999,368,0
CTA_A.US,5,20211216,205000,94,94,94,94,300,0
CTA_A.US,5,20211217,153000,93.59,93.59,93.59,93.59,200,0
CTA_A.US,5,20211217,160000,94,94,94,94,200,0
CTA_A.US,5,20211220,171500,94.1606,94.1606,94.1606,94.1606,179,0
CTA_A.US,5,20211221,164000,95,95,95,95,129,0
CTA_A.US,5,20211222,170000,94.85,94.85,94.85,94.85,162,0
CTA_A.US,5,20211222,193500,93.8075,93.8075,93.8075,93.8075,100,0
