<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CYD.US,5,20211104,143000,12.92,12.92,12.92,12.92,1157,0
CYD.US,5,20211104,143500,12.91,12.91,12.91,12.91,100,0
CYD.US,5,20211104,144000,12.949,12.955,12.949,12.955,400,0
CYD.US,5,20211104,144500,12.9999,12.9999,12.9999,12.9999,100,0
CYD.US,5,20211104,145000,12.99,13,12.99,13,366,0
CYD.US,5,20211104,145500,13,13,13,13,200,0
CYD.US,5,20211104,151000,13.01,13.01,13.01,13.01,100,0
CYD.US,5,20211104,151500,13,13,13,13,100,0
CYD.US,5,20211104,152500,13,13,13,13,100,0
CYD.US,5,20211104,154000,13,13,13,13,100,0
CYD.US,5,20211104,155000,13.05,13.05,13.05,13.05,300,0
CYD.US,5,20211104,161000,13,13,13,13,100,0
CYD.US,5,20211104,163000,13,13,13,13,746,0
CYD.US,5,20211104,163500,13,13,13,13,100,0
CYD.US,5,20211104,164500,13,13,13,13,100,0
CYD.US,5,20211104,165500,13,13,13,13,500,0
CYD.US,5,20211104,172500,12.92,12.92,12.92,12.92,100,0
CYD.US,5,20211104,175000,12.92,12.92,12.92,12.92,100,0
CYD.US,5,20211104,181000,12.9897,12.9897,12.9897,12.9897,242,0
CYD.US,5,20211104,182000,12.9569,12.9569,12.9569,12.9569,150,0
CYD.US,5,20211104,183000,12.9,12.9,12.9,12.9,100,0
CYD.US,5,20211104,184000,12.9,12.9,12.9,12.9,100,0
CYD.US,5,20211104,185500,12.9,12.9,12.9,12.9,100,0
CYD.US,5,20211104,190500,12.9,12.9,12.9,12.9,2409,0
CYD.US,5,20211104,191500,12.85,12.9,12.85,12.9,200,0
CYD.US,5,20211104,192500,12.85,12.85,12.85,12.85,100,0
CYD.US,5,20211104,193500,12.85,12.85,12.85,12.85,1400,0
CYD.US,5,20211104,194000,12.87,12.87,12.87,12.87,100,0
CYD.US,5,20211104,195000,12.85,12.85,12.8,12.8,907,0
CYD.US,5,20211104,195500,12.88,12.88,12.88,12.88,100,0
CYD.US,5,20211104,200000,12.81,12.81,12.81,12.81,100,0
CYD.US,5,20211104,200500,12.8,12.8,12.8,12.8,800,0
CYD.US,5,20211104,201000,12.8,12.8,12.8,12.8,200,0
CYD.US,5,20211104,201500,12.8,12.8,12.775,12.8,3058,0
CYD.US,5,20211104,202000,12.8,12.8,12.75,12.75,3961,0
