<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DEO.US,5,20211104,143000,202.93,203.17,202.92,203.14,5866,0
DEO.US,5,20211104,143500,203.18,203.3,203.03,203.03,1465,0
DEO.US,5,20211104,144000,203.04,203.06,203.04,203.06,400,0
DEO.US,5,20211104,144500,203.26,203.26,202.965,202.965,1800,0
DEO.US,5,20211104,145000,203.12,203.43,203.11,203.39,2047,0
DEO.US,5,20211104,145500,203.33,203.33,203.29,203.32,800,0
DEO.US,5,20211104,150000,203.25,203.27,203.22,203.27,1096,0
DEO.US,5,20211104,150500,203.2,203.24,203.09,203.24,1696,0
DEO.US,5,20211104,151000,203.21,203.543,203.21,203.543,740,0
DEO.US,5,20211104,151500,203.61,203.61,203.375,203.375,400,0
DEO.US,5,20211104,152000,203.46,203.46,203.27,203.4,3507,0
DEO.US,5,20211104,152500,203.27,203.595,203.27,203.595,367,0
DEO.US,5,20211104,153000,203.683,203.76,203.41,203.735,1862,0
DEO.US,5,20211104,153500,203.89,203.89,203.89,203.89,100,0
DEO.US,5,20211104,154000,203.75,203.9,203.75,203.9,926,0
DEO.US,5,20211104,154500,203.75,203.889,203.68,203.79,1239,0
DEO.US,5,20211104,155000,203.91,203.91,203.74,203.74,629,0
DEO.US,5,20211104,155500,203.7,203.735,203.67,203.735,375,0
DEO.US,5,20211104,160000,203.74,203.74,203.56,203.604,600,0
DEO.US,5,20211104,160500,203.62,203.95,203.56,203.85,2649,0
DEO.US,5,20211104,161000,203.89,203.995,203.82,203.93,920,0
DEO.US,5,20211104,161500,203.99,204.02,203.96,203.96,1825,0
DEO.US,5,20211104,162000,203.87,203.92,203.62,203.63,2218,0
DEO.US,5,20211104,162500,203.64,203.81,203.62,203.765,3976,0
DEO.US,5,20211104,163000,204.005,204.24,204.005,204.16,973,0
DEO.US,5,20211104,163500,204.16,204.23,204.09,204.22,1358,0
DEO.US,5,20211104,164000,204.25,204.25,204.095,204.16,800,0
DEO.US,5,20211104,164500,204,204,203.6,203.6,4715,0
DEO.US,5,20211104,165000,203.555,203.895,203.555,203.895,720,0
DEO.US,5,20211104,165500,203.994,203.994,203.994,203.994,147,0
DEO.US,5,20211104,170000,204.14,204.32,204.14,204.32,1300,0
DEO.US,5,20211104,170500,204.25,204.439,204.15,204.439,1699,0
DEO.US,5,20211104,171000,204.385,204.385,204.24,204.25,1566,0
DEO.US,5,20211104,171500,204.32,204.32,204.11,204.12,475,0
DEO.US,5,20211104,172000,204.18,204.18,204.18,204.18,175,0
DEO.US,5,20211104,172500,204.1,204.212,203.99,204.16,1615,0
DEO.US,5,20211104,173000,204.2,204.2,204.105,204.105,400,0
DEO.US,5,20211104,173500,204.1,204.1,204.086,204.086,248,0
DEO.US,5,20211104,174000,204.185,204.295,204.185,204.295,246,0
DEO.US,5,20211104,174500,204.195,204.295,204.195,204.195,300,0
DEO.US,5,20211104,175000,204.262,204.262,204.195,204.195,211,0
DEO.US,5,20211104,175500,204.195,204.195,204.195,204.195,100,0
DEO.US,5,20211104,180000,204.195,204.195,204.09,204.09,858,0
DEO.US,5,20211104,180500,204.03,204.03,203.93,204.025,723,0
DEO.US,5,20211104,181000,204.026,204.12,204.025,204.025,454,0
DEO.US,5,20211104,181500,204.07,204.25,204.07,204.25,256,0
DEO.US,5,20211104,182000,204.21,204.218,204.035,204.07,539,0
DEO.US,5,20211104,182500,204.05,204.05,204.05,204.05,100,0
DEO.US,5,20211104,183000,204.04,204.04,204,204,200,0
DEO.US,5,20211104,183500,204,204,204,204,100,0
DEO.US,5,20211104,184000,203.995,204.02,203.995,204.02,430,0
DEO.US,5,20211104,184500,204.135,204.135,204,204,353,0
DEO.US,5,20211104,185000,204.24,204.24,204.03,204.095,930,0
DEO.US,5,20211104,185500,204.02,204.19,204,204.175,1009,0
DEO.US,5,20211104,190000,204.13,204.16,203.99,204.015,1500,0
DEO.US,5,20211104,190500,203.99,204.069,203.9,203.99,903,0
DEO.US,5,20211104,191000,203.99,204.07,203.99,203.995,310,0
DEO.US,5,20211104,191500,204.068,204.08,204,204,463,0
DEO.US,5,20211104,192000,204,204.027,204,204.01,578,0
DEO.US,5,20211104,192500,203.989,204.07,203.935,204.07,1060,0
DEO.US,5,20211104,193000,204.01,204.07,203.95,204.07,1288,0
DEO.US,5,20211104,193500,204.27,204.34,204.16,204.194,2069,0
DEO.US,5,20211104,194000,204.17,204.19,204.025,204.025,800,0
DEO.US,5,20211104,194500,204.025,204.025,204.025,204.025,100,0
DEO.US,5,20211104,195000,204.11,204.21,204.11,204.2,852,0
DEO.US,5,20211104,195500,204.14,204.14,204.14,204.14,740,0
DEO.US,5,20211104,200000,204,204,204,204,400,0
DEO.US,5,20211104,200500,204.08,204.15,204.005,204.15,544,0
DEO.US,5,20211104,201000,204,204.085,204,204.085,400,0
DEO.US,5,20211104,201500,204,204.15,203.975,204,1700,0
DEO.US,5,20211104,202000,204.1,204.115,204.04,204.04,671,0
DEO.US,5,20211104,202500,204.04,204.04,203.925,203.925,677,0
DEO.US,5,20211104,203000,203.96,204.03,203.89,204.03,515,0
DEO.US,5,20211104,203500,204.07,204.14,204.07,204.1,563,0
DEO.US,5,20211104,204000,204.14,204.14,203.942,203.955,1900,0
DEO.US,5,20211104,204500,204,204.1,203.975,204.08,3810,0
DEO.US,5,20211104,205000,204,204.25,203.98,204.14,6881,0
DEO.US,5,20211104,205500,204.19,204.22,204.02,204.03,6917,0
DEO.US,5,20211105,143000,203.4,204,203.4,203.787,12229,0
DEO.US,5,20211105,143500,203.88,204.13,203.77,203.862,1025,0
DEO.US,5,20211105,144000,203.856,204.14,203.856,204.14,2567,0
DEO.US,5,20211105,144500,204.16,204.16,204.005,204.06,825,0
DEO.US,5,20211105,145000,203.93,204.08,203.93,204.005,4753,0
DEO.US,5,20211105,145500,203.955,203.97,203.88,203.88,3310,0
DEO.US,5,20211105,150000,203.92,204.34,203.92,204.29,1300,0
DEO.US,5,20211105,150500,204.23,204.38,204.23,204.38,1500,0
DEO.US,5,20211105,151000,204.33,204.36,204.06,204.08,3251,0
DEO.US,5,20211105,151500,204.11,204.199,204.03,204.09,1250,0
DEO.US,5,20211105,152000,204.06,204.105,204.02,204.043,1219,0
DEO.US,5,20211105,152500,203.99,204,203.9,203.915,1219,0
DEO.US,5,20211105,153000,203.95,204.032,203.9,204.032,1323,0
DEO.US,5,20211105,153500,204.09,204.15,204.09,204.15,300,0
DEO.US,5,20211105,154000,204.37,204.53,204.36,204.44,1391,0
DEO.US,5,20211105,154500,204.56,204.58,204.47,204.51,641,0
DEO.US,5,20211105,155000,204.47,204.53,204.47,204.47,400,0
DEO.US,5,20211105,155500,204.59,204.59,204.48,204.57,500,0
DEO.US,5,20211105,160000,204.544,204.62,204.5,204.5,1084,0
DEO.US,5,20211105,160500,204.56,204.56,204.399,204.44,1556,0
DEO.US,5,20211105,161000,204.48,204.48,204.345,204.45,2100,0
DEO.US,5,20211105,161500,204.415,204.415,204.33,204.33,500,0
DEO.US,5,20211105,162000,204.315,204.4,204.26,204.38,3422,0
