<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DHX.US,5,20211104,143000,4.98,4.98,4.98,4.98,268,0
DHX.US,5,20211104,144000,4.99,4.99,4.99,4.99,125,0
DHX.US,5,20211104,144500,4.98,4.98,4.95,4.965,3127,0
DHX.US,5,20211104,145000,4.965,5,4.94,4.98,32373,0
DHX.US,5,20211104,145500,5.01,5.02,4.99,5.01,4468,0
DHX.US,5,20211104,150000,5.0636,5.0636,5.0636,5.0636,500,0
DHX.US,5,20211104,150500,5.055,5.07,5.055,5.065,2115,0
DHX.US,5,20211104,151000,5.065,5.08,5.05,5.08,1444,0
DHX.US,5,20211104,151500,5.065,5.065,5.065,5.065,400,0
DHX.US,5,20211104,152000,5.065,5.065,5.05,5.05,300,0
DHX.US,5,20211104,153500,5.04,5.04,5.035,5.035,700,0
DHX.US,5,20211104,154000,5.02,5.0201,5.02,5.0201,200,0
DHX.US,5,20211104,155000,5.03,5.03,5.03,5.03,100,0
DHX.US,5,20211104,155500,5.05,5.06,5.05,5.05,2553,0
DHX.US,5,20211104,160000,5.06,5.06,5.05,5.05,11795,0
DHX.US,5,20211104,160500,5.05,5.06,5.05,5.05,4732,0
DHX.US,5,20211104,161000,5.05,5.05,5.05,5.05,300,0
DHX.US,5,20211104,162000,5.05,5.05,5.03,5.03,1100,0
DHX.US,5,20211104,163000,5.03,5.03,5.03,5.03,100,0
DHX.US,5,20211104,164000,5.04,5.04,5.04,5.04,100,0
DHX.US,5,20211104,165000,5.04,5.04,5.03,5.03,700,0
DHX.US,5,20211104,165500,5.03,5.04,5.03,5.04,200,0
DHX.US,5,20211104,170000,5.04,5.04,5.04,5.04,400,0
DHX.US,5,20211104,170500,5.04,5.04,5.01,5.01,1603,0
DHX.US,5,20211104,171500,5.01,5.01,5.01,5.01,1257,0
DHX.US,5,20211104,172000,5.025,5.025,5.025,5.025,600,0
DHX.US,5,20211104,172500,5.01,5.01,4.98,4.98,26743,0
DHX.US,5,20211104,173000,4.96,4.96,4.885,4.92,2046,0
DHX.US,5,20211104,173500,4.9,4.9,4.9,4.9,901,0
DHX.US,5,20211104,174000,4.92,4.92,4.86,4.86,500,0
DHX.US,5,20211104,174500,4.88,4.99,4.88,4.99,17070,0
DHX.US,5,20211104,175000,4.99,4.99,4.99,4.99,600,0
