<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DIAX.US,5,20211104,143000,17.76,17.76,17.76,17.76,3484,0
DIAX.US,5,20211104,143500,17.7,17.7,17.69,17.69,1700,0
DIAX.US,5,20211104,144000,17.68,17.68,17.68,17.68,100,0
DIAX.US,5,20211104,144500,17.68,17.68,17.68,17.68,100,0
DIAX.US,5,20211104,150000,17.7,17.7,17.7,17.7,300,0
DIAX.US,5,20211104,150500,17.71,17.71,17.66,17.71,428,0
DIAX.US,5,20211104,151000,17.72,17.72,17.72,17.72,100,0
DIAX.US,5,20211104,151500,17.72,17.72,17.72,17.72,100,0
DIAX.US,5,20211104,152000,17.72,17.72,17.72,17.72,200,0
DIAX.US,5,20211104,152500,17.72,17.72,17.72,17.72,200,0
DIAX.US,5,20211104,153000,17.7178,17.7178,17.7178,17.7178,200,0
DIAX.US,5,20211104,155500,17.725,17.73,17.725,17.73,400,0
DIAX.US,5,20211104,160000,17.725,17.73,17.7208,17.73,425,0
DIAX.US,5,20211104,160500,17.73,17.73,17.73,17.73,300,0
DIAX.US,5,20211104,161000,17.725,17.725,17.715,17.72,2089,0
DIAX.US,5,20211104,161500,17.71,17.72,17.71,17.72,1839,0
DIAX.US,5,20211104,164500,17.675,17.675,17.675,17.675,2403,0
DIAX.US,5,20211104,171500,17.6894,17.6894,17.6894,17.6894,500,0
DIAX.US,5,20211104,172500,17.6963,17.6963,17.6772,17.6772,519,0
DIAX.US,5,20211104,174000,17.6958,17.6958,17.6958,17.6958,450,0
DIAX.US,5,20211104,175500,17.6903,17.6903,17.6903,17.6903,500,0
DIAX.US,5,20211104,180500,17.6945,17.6945,17.6945,17.6945,148,0
DIAX.US,5,20211104,181000,17.7,17.7,17.7,17.7,201,0
DIAX.US,5,20211104,182500,17.67,17.67,17.65,17.6699,6867,0
DIAX.US,5,20211104,190500,17.63,17.6493,17.63,17.6493,1522,0
DIAX.US,5,20211104,202000,17.64,17.6414,17.64,17.64,500,0
DIAX.US,5,20211104,202500,17.6336,17.6336,17.63,17.63,4036,0
DIAX.US,5,20211104,203000,17.63,17.6302,17.63,17.63,4506,0
DIAX.US,5,20211104,203500,17.639,17.639,17.639,17.639,335,0
DIAX.US,5,20211104,204000,17.6327,17.6327,17.6327,17.6327,570,0
DIAX.US,5,20211104,205000,17.635,17.635,17.635,17.635,300,0
