<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EQNR.US,5,20211104,143000,26.292,26.332,26.222,26.232,128913,0
EQNR.US,5,20211104,143500,26.222,26.242,26.148,26.163,63295,0
EQNR.US,5,20211104,144000,26.158,26.212,26.158,26.192,44916,0
EQNR.US,5,20211104,144500,26.192,26.217,26.163,26.182,54143,0
EQNR.US,5,20211104,145000,26.182,26.232,26.172,26.232,37310,0
EQNR.US,5,20211104,145500,26.227,26.252,26.182,26.182,42230,0
EQNR.US,5,20211104,150000,26.182,26.197,26.088,26.093,39530,0
EQNR.US,5,20211104,150500,26.093,26.133,26.073,26.103,49640,0
EQNR.US,5,20211104,151000,26.103,26.133,26.073,26.073,51119,0
EQNR.US,5,20211104,151500,26.073,26.123,26.023,26.023,24155,0
EQNR.US,5,20211104,152000,26.033,26.043,25.854,25.914,141963,0
EQNR.US,5,20211104,152500,25.904,25.914,25.849,25.854,14602,0
EQNR.US,5,20211104,153000,25.854,25.884,25.829,25.884,22771,0
EQNR.US,5,20211104,153500,25.884,26.023,25.884,26.013,48922,0
EQNR.US,5,20211104,154000,26.013,26.053,26.012,26.028,22594,0
EQNR.US,5,20211104,154500,26.033,26.083,26.023,26.023,29489,0
EQNR.US,5,20211104,155000,26.013,26.013,25.973,25.993,16558,0
EQNR.US,5,20211104,155500,25.998,26.053,25.983,26.053,20960,0
EQNR.US,5,20211104,160000,26.053,26.053,25.993,25.993,10247,0
EQNR.US,5,20211104,160500,25.993,26.018,25.993,26.008,18274,0
EQNR.US,5,20211104,161000,26.008,26.043,25.993,26.003,14369,0
EQNR.US,5,20211104,161500,25.993,25.993,25.914,25.944,45465,0
EQNR.US,5,20211104,162000,25.939,25.939,25.814,25.854,64959,0
EQNR.US,5,20211104,162500,25.854,25.864,25.804,25.864,25831,0
EQNR.US,5,20211104,163000,25.874,25.914,25.874,25.889,17181,0
EQNR.US,5,20211104,163500,25.884,25.919,25.884,25.899,7409,0
EQNR.US,5,20211104,164000,25.894,25.899,25.884,25.894,4950,0
EQNR.US,5,20211104,164500,25.894,25.904,25.869,25.874,5021,0
EQNR.US,5,20211104,165000,25.864,25.874,25.844,25.854,6914,0
EQNR.US,5,20211104,165500,25.849,25.904,25.844,25.894,12180,0
EQNR.US,5,20211104,170000,25.894,25.963,25.894,25.963,10269,0
EQNR.US,5,20211104,170500,25.959,25.983,25.954,25.963,6302,0
EQNR.US,5,20211104,171000,25.961,25.965,25.944,25.954,13368,0
EQNR.US,5,20211104,171500,25.947,25.959,25.879,25.914,14340,0
EQNR.US,5,20211104,172000,25.919,25.919,25.884,25.884,7808,0
EQNR.US,5,20211104,172500,25.874,25.899,25.844,25.844,7038,0
EQNR.US,5,20211104,173000,25.844,25.864,25.844,25.864,6803,0
EQNR.US,5,20211104,173500,25.869,25.869,25.829,25.839,14899,0
EQNR.US,5,20211104,174000,25.844,25.854,25.824,25.854,7883,0
EQNR.US,5,20211104,174500,25.859,25.859,25.834,25.834,3349,0
EQNR.US,5,20211104,175000,25.834,25.839,25.819,25.824,13900,0
EQNR.US,5,20211104,175500,25.824,25.824,25.799,25.804,3216,0
