<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FL.US,5,20211104,143000,51.87,52,51.41,51.5,30802,0
FL.US,5,20211104,143500,51.51,51.73,51.43,51.64,13452,0
FL.US,5,20211104,144000,51.8,52.15,51.72,52.09,10657,0
FL.US,5,20211104,144500,52.09,52.12,51.8401,52.05,11546,0
FL.US,5,20211104,145000,52.12,52.46,52.06,52.34,14381,0
FL.US,5,20211104,145500,52.35,52.55,52.35,52.46,13517,0
FL.US,5,20211104,150000,52.48,52.63,52.48,52.555,14271,0
FL.US,5,20211104,150500,52.55,52.75,52.55,52.59,19090,0
FL.US,5,20211104,151000,52.58,52.62,52.35,52.374,12941,0
FL.US,5,20211104,151500,52.38,52.52,52.28,52.36,11939,0
FL.US,5,20211104,152000,52.42,52.46,52.32,52.43,8380,0
FL.US,5,20211104,152500,52.42,52.4773,52.25,52.36,9796,0
FL.US,5,20211104,153000,52.38,52.53,52.38,52.4,9641,0
FL.US,5,20211104,153500,52.405,52.405,52.21,52.22,6461,0
FL.US,5,20211104,154000,52.25,52.27,52.12,52.235,9094,0
FL.US,5,20211104,154500,52.25,52.39,52.2,52.2,7291,0
FL.US,5,20211104,155000,52.18,52.2,52,52,8824,0
FL.US,5,20211104,155500,51.97,51.98,51.845,51.9,7852,0
FL.US,5,20211104,160000,51.89,51.89,51.7,51.7075,11810,0
FL.US,5,20211104,160500,51.705,51.77,51.57,51.6,24875,0
FL.US,5,20211104,161000,51.58,51.71,51.47,51.47,9473,0
FL.US,5,20211104,161500,51.51,51.52,51.3337,51.4,13734,0
FL.US,5,20211104,162000,51.39,51.43,51.29,51.31,8085,0
FL.US,5,20211104,162500,51.31,51.39,51.25,51.35,9892,0
FL.US,5,20211104,163000,51.32,51.535,51.32,51.51,5095,0
FL.US,5,20211104,163500,51.54,51.64,51.51,51.58,4444,0
FL.US,5,20211104,164000,51.59,51.83,51.58,51.8297,7358,0
FL.US,5,20211104,164500,51.79,51.87,51.66,51.66,9437,0
FL.US,5,20211104,165000,51.675,51.7638,51.66,51.72,7372,0
FL.US,5,20211104,165500,51.715,51.79,51.715,51.755,6483,0
FL.US,5,20211104,170000,51.77,51.79,51.705,51.75,7675,0
FL.US,5,20211104,170500,51.73,51.83,51.68,51.81,22315,0
FL.US,5,20211104,171000,51.81,51.87,51.81,51.86,10545,0
FL.US,5,20211104,171500,51.84,51.84,51.75,51.76,6988,0
FL.US,5,20211104,172000,51.77,51.93,51.76,51.905,7320,0
FL.US,5,20211104,172500,51.92,52.09,51.92,52,6136,0
FL.US,5,20211104,173000,52.02,52.05,51.99,52.02,7158,0
FL.US,5,20211104,173500,52.03,52.1,52.03,52.065,6359,0
FL.US,5,20211104,174000,52.05,52.13,52.02,52.1,5180,0
FL.US,5,20211104,174500,52.08,52.14,52.02,52.12,6173,0
FL.US,5,20211104,175000,52.14,52.18,52.13,52.155,7388,0
FL.US,5,20211104,175500,52.16,52.25,52.16,52.21,8154,0
FL.US,5,20211104,180000,52.21,52.35,52.21,52.29,7247,0
FL.US,5,20211104,180500,52.3,52.36,52.29,52.33,7744,0
FL.US,5,20211104,181000,52.32,52.4,52.32,52.33,10980,0
FL.US,5,20211104,181500,52.3461,52.36,52.31,52.36,7600,0
FL.US,5,20211104,182000,52.36,52.39,52.31,52.38,11703,0
FL.US,5,20211104,182500,52.37,52.37,52.29,52.355,8040,0
FL.US,5,20211104,183000,52.35,52.38,52.34,52.35,7235,0
FL.US,5,20211104,183500,52.34,52.34,52.29,52.34,7450,0
FL.US,5,20211104,184000,52.34,52.43,52.3,52.42,7002,0
FL.US,5,20211104,184500,52.42,52.47,52.4102,52.47,7263,0
FL.US,5,20211104,185000,52.47,52.515,52.44,52.515,13514,0
FL.US,5,20211104,185500,52.53,52.53,52.45,52.46,8258,0
FL.US,5,20211104,190000,52.46,52.46,52.17,52.235,9304,0
FL.US,5,20211104,190500,52.22,52.3381,52.22,52.32,13637,0
FL.US,5,20211104,191000,52.33,52.34,52.28,52.3,6329,0
FL.US,5,20211104,191500,52.295,52.295,52.2,52.27,10540,0
FL.US,5,20211104,192000,52.265,52.3,52.255,52.29,9178,0
FL.US,5,20211104,192500,52.285,52.32,52.16,52.18,8142,0
FL.US,5,20211104,193000,52.15,52.17,52.035,52.07,7638,0
FL.US,5,20211104,193500,52.08,52.08,51.95,52.01,7148,0
FL.US,5,20211104,194000,52,52.05,51.935,52.02,12398,0
FL.US,5,20211104,194500,52.015,52.06,51.94,51.94,6769,0
FL.US,5,20211104,195000,51.935,51.935,51.85,51.86,6735,0
FL.US,5,20211104,195500,51.87,51.93,51.87,51.93,4986,0
FL.US,5,20211104,200000,51.94,51.968,51.88,51.89,7519,0
FL.US,5,20211104,200500,51.87,51.9,51.855,51.88,5435,0
FL.US,5,20211104,201000,51.9,51.96,51.84,51.9,6032,0
FL.US,5,20211104,201500,51.91,51.93,51.85,51.89,8554,0
FL.US,5,20211104,202000,51.9,51.93,51.85,51.92,6097,0
FL.US,5,20211104,202500,51.9,51.98,51.84,51.85,6003,0
FL.US,5,20211104,203000,51.85,51.979,51.835,51.95,12265,0
FL.US,5,20211104,203500,51.94,52.08,51.93,52.05,15097,0
FL.US,5,20211104,204000,52.05,52.1,51.99,52.08,22552,0
FL.US,5,20211104,204500,52.09,52.17,52.08,52.09,28237,0
FL.US,5,20211104,205000,52.1,52.19,52.09,52.19,51613,0
FL.US,5,20211104,205500,52.19,52.23,52.11,52.17,75301,0
FL.US,5,20211105,143000,53,53.82,53,53.72,22261,0
FL.US,5,20211105,143500,53.57,53.9,53.46,53.545,9012,0
FL.US,5,20211105,144000,53.57,53.9,53.55,53.87,13430,0
FL.US,5,20211105,144500,53.84,53.92,53.28,53.5,29942,0
FL.US,5,20211105,145000,53.48,53.7,53.41,53.6,17757,0
FL.US,5,20211105,145500,53.63,53.81,53.51,53.61,25069,0
FL.US,5,20211105,150000,53.57,53.79,53.56,53.775,18206,0
FL.US,5,20211105,150500,53.77,53.84,53.5969,53.64,22345,0
FL.US,5,20211105,151000,53.58,53.59,53.23,53.24,6119,0
FL.US,5,20211105,151500,53.33,53.38,53.14,53.19,5118,0
FL.US,5,20211105,152000,53.19,53.24,53.16,53.19,7542,0
FL.US,5,20211105,152500,53.19,53.225,53.06,53.0999,3738,0
FL.US,5,20211105,153000,53.11,53.1999,53.07,53.15,28123,0
FL.US,5,20211105,153500,53.145,53.24,53.1,53.12,6467,0
FL.US,5,20211105,154000,53.12,53.26,53.04,53.23,5880,0
FL.US,5,20211105,154500,53.22,53.22,53.11,53.165,8390,0
FL.US,5,20211105,155000,53.17,53.25,53.15,53.23,4742,0
FL.US,5,20211105,155500,53.24,53.25,53.13,53.15,3684,0
FL.US,5,20211105,160000,53.16,53.24,53.14,53.23,3934,0
FL.US,5,20211105,160500,53.26,53.26,52.98,53.05,13170,0
FL.US,5,20211105,161000,53.06,53.12,53.02,53.1,5657,0
FL.US,5,20211105,161500,53.14,53.155,53.04,53.05,10012,0
FL.US,5,20211105,162000,53.06,53.07,52.9,52.955,6770,0
FL.US,5,20211105,162500,52.97,53.01,52.83,52.89,14321,0
FL.US,5,20211105,163000,52.89,52.89,52.69,52.7,7127,0
FL.US,5,20211105,163500,52.69,52.79,52.65,52.79,5115,0
FL.US,5,20211105,164000,52.79,52.88,52.785,52.84,3111,0
FL.US,5,20211105,164500,52.85,52.885,52.82,52.87,6329,0
FL.US,5,20211105,165000,52.85,53,52.83,52.915,8634,0
FL.US,5,20211105,165500,52.89,52.89,52.79,52.86,2786,0
FL.US,5,20211105,170000,52.85,52.92,52.85,52.86,7706,0
FL.US,5,20211105,170500,52.88,53.02,52.88,53,10415,0
FL.US,5,20211105,171000,52.99,52.99,52.92,52.94,11912,0
FL.US,5,20211105,171500,52.93,52.95,52.83,52.86,7824,0
FL.US,5,20211105,172000,52.86,52.86,52.78,52.81,6608,0
FL.US,5,20211105,172500,52.8,52.88,52.74,52.8,5931,0
FL.US,5,20211105,173000,52.78,52.84,52.78,52.83,3303,0
FL.US,5,20211105,173500,52.85,52.89,52.8,52.825,5838,0
FL.US,5,20211105,174000,52.78,52.83,52.73,52.78,45474,0
FL.US,5,20211105,174500,52.75,52.76,52.72,52.76,2838,0
FL.US,5,20211105,175000,52.76,52.79,52.7,52.75,2200,0
FL.US,5,20211105,175500,52.725,52.76,52.69,52.75,2692,0
FL.US,5,20211105,180000,52.75,52.86,52.72,52.82,5278,0
FL.US,5,20211105,180500,52.82,52.82,52.615,52.615,1404,0
FL.US,5,20211105,181000,52.63,52.64,52.575,52.635,3002,0
FL.US,5,20211105,181500,52.62,52.73,52.62,52.69,4241,0
FL.US,5,20211105,182000,52.7,52.75,52.68,52.69,3996,0
FL.US,5,20211105,182500,52.68,52.69,52.57,52.635,13774,0
FL.US,5,20211105,183000,52.63,52.82,52.61,52.79,6667,0
FL.US,5,20211105,183500,52.78,52.8,52.71,52.71,2613,0
FL.US,5,20211105,184000,52.69,52.69,52.58,52.605,6058,0
FL.US,5,20211105,184500,52.605,52.635,52.52,52.6,5847,0
FL.US,5,20211105,185000,52.615,52.66,52.59,52.65,2494,0
FL.US,5,20211105,185500,52.65,52.74,52.64,52.72,3024,0
FL.US,5,20211105,190000,52.71,52.71,52.61,52.66,5305,0
FL.US,5,20211105,190500,52.715,52.8,52.715,52.775,2829,0
FL.US,5,20211105,191000,52.76,52.84,52.73,52.8,5636,0
FL.US,5,20211105,191500,52.79,52.84,52.72,52.73,5692,0
FL.US,5,20211105,192000,52.725,52.86,52.71,52.8288,7933,0
FL.US,5,20211105,192500,52.83,52.86,52.79,52.855,2705,0
