<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MAS.US,5,20211104,143000,64,64.259,63.931,64.055,30891,0
MAS.US,5,20211104,143500,64.01,64.23,64.01,64.17,1365,0
MAS.US,5,20211104,144000,64.269,64.439,64.269,64.379,4231,0
MAS.US,5,20211104,144500,64.339,64.339,64.21,64.269,2634,0
MAS.US,5,20211104,145000,64.269,64.349,64.239,64.289,10071,0
MAS.US,5,20211104,145500,64.289,64.439,64.239,64.435,4497,0
MAS.US,5,20211104,150000,64.479,64.518,64.349,64.444,3902,0
MAS.US,5,20211104,150500,64.479,64.568,64.449,64.558,2145,0
MAS.US,5,20211104,151000,64.588,64.688,64.518,64.688,9874,0
MAS.US,5,20211104,151500,64.688,64.748,64.548,64.598,2075,0
MAS.US,5,20211104,152000,64.568,64.698,64.558,64.698,4189,0
MAS.US,5,20211104,152500,64.678,64.758,64.668,64.738,6520,0
MAS.US,5,20211104,153000,64.728,64.887,64.723,64.877,9716,0
MAS.US,5,20211104,153500,64.917,64.927,64.748,64.748,8879,0
MAS.US,5,20211104,154000,64.739,64.768,64.698,64.708,4898,0
MAS.US,5,20211104,154500,64.668,64.688,64.538,64.538,5401,0
MAS.US,5,20211104,155000,64.568,64.628,64.543,64.568,8092,0
MAS.US,5,20211104,155500,64.578,64.628,64.568,64.608,6931,0
MAS.US,5,20211104,160000,64.598,64.658,64.598,64.658,9061,0
MAS.US,5,20211104,160500,64.658,64.678,64.607,64.628,4866,0
MAS.US,5,20211104,161000,64.633,64.718,64.616,64.718,9175,0
MAS.US,5,20211104,161500,64.708,64.708,64.593,64.608,15242,0
MAS.US,5,20211104,162000,64.613,64.613,64.479,64.518,11955,0
MAS.US,5,20211104,162500,64.509,64.588,64.459,64.578,8231,0
MAS.US,5,20211104,163000,64.568,64.638,64.558,64.608,11888,0
MAS.US,5,20211104,163500,64.618,64.648,64.593,64.648,4848,0
MAS.US,5,20211104,164000,64.658,64.708,64.628,64.708,10406,0
MAS.US,5,20211104,164500,64.698,64.703,64.638,64.643,5022,0
MAS.US,5,20211104,165000,64.638,64.638,64.548,64.568,5155,0
MAS.US,5,20211104,165500,64.563,64.658,64.563,64.658,2623,0
MAS.US,5,20211104,170000,64.658,64.658,64.578,64.628,6965,0
MAS.US,5,20211104,170500,64.648,64.688,64.638,64.688,6531,0
MAS.US,5,20211104,171000,64.678,64.698,64.618,64.698,6656,0
MAS.US,5,20211104,171500,64.708,64.783,64.673,64.678,22837,0
MAS.US,5,20211104,172000,64.678,64.766,64.678,64.708,7361,0
MAS.US,5,20211104,172500,64.698,64.758,64.683,64.758,4222,0
MAS.US,5,20211104,173000,64.758,64.807,64.718,64.787,5678,0
MAS.US,5,20211104,173500,64.768,64.807,64.758,64.807,3949,0
MAS.US,5,20211104,174000,64.817,64.857,64.817,64.857,4676,0
MAS.US,5,20211104,174500,64.857,64.877,64.812,64.877,5171,0
MAS.US,5,20211104,175000,64.857,64.893,64.817,64.867,7842,0
MAS.US,5,20211104,175500,64.857,64.857,64.817,64.847,5255,0
MAS.US,5,20211104,180000,64.857,64.877,64.778,64.837,10563,0
MAS.US,5,20211104,180500,64.817,64.837,64.758,64.758,3759,0
MAS.US,5,20211104,181000,64.748,64.778,64.688,64.688,6027,0
MAS.US,5,20211104,181500,64.708,64.733,64.678,64.728,2823,0
MAS.US,5,20211104,182000,64.738,64.738,64.668,64.703,5668,0
