<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MBAC-WS.US,5,20211104,143500,1.56,1.56,1.56,1.56,3000,0
MBAC-WS.US,5,20211104,144000,1.55,1.56,1.55,1.56,3200,0
MBAC-WS.US,5,20211104,144500,1.55,1.55,1.55,1.55,100,0
MBAC-WS.US,5,20211104,150000,1.5919,1.5919,1.55,1.55,5100,0
MBAC-WS.US,5,20211104,152000,1.6,1.6,1.6,1.6,5000,0
MBAC-WS.US,5,20211104,153000,1.57,1.57,1.57,1.57,5000,0
MBAC-WS.US,5,20211104,172000,1.6,1.6,1.6,1.6,624,0
MBAC-WS.US,5,20211104,185000,1.6,1.6,1.6,1.6,500,0
MBAC-WS.US,5,20211104,192000,1.55,1.55,1.55,1.55,100,0
MBAC-WS.US,5,20211104,193000,1.55,1.55,1.55,1.55,100,0
MBAC-WS.US,5,20211104,205000,1.6,1.6,1.55,1.55,1000,0
MBAC-WS.US,5,20211104,205500,1.6,1.6,1.6,1.6,500,0
MBAC-WS.US,5,20211105,143000,1.55,1.55,1.55,1.55,200,0
MBAC-WS.US,5,20211105,144500,1.55,1.55,1.55,1.55,5000,0
MBAC-WS.US,5,20211105,175500,1.5001,1.5001,1.5001,1.5001,400,0
MBAC-WS.US,5,20211105,180500,1.505,1.53,1.505,1.53,400,0
MBAC-WS.US,5,20211105,181000,1.55,1.55,1.55,1.55,990,0
MBAC-WS.US,5,20211105,183000,1.55,1.55,1.55,1.55,5000,0
MBAC-WS.US,5,20211105,185000,1.54,1.54,1.54,1.54,200,0
MBAC-WS.US,5,20211105,191500,1.55,1.55,1.55,1.55,1000,0
MBAC-WS.US,5,20211105,192500,1.545,1.55,1.545,1.55,3000,0
MBAC-WS.US,5,20211105,193000,1.5499,1.55,1.545,1.55,5000,0
MBAC-WS.US,5,20211105,195000,1.545,1.55,1.54,1.54,5200,0
MBAC-WS.US,5,20211105,200500,1.545,1.55,1.545,1.55,10000,0
MBAC-WS.US,5,20211105,202000,1.545,1.55,1.545,1.55,5000,0
MBAC-WS.US,5,20211105,204000,1.54,1.54,1.54,1.54,800,0
MBAC-WS.US,5,20211105,205000,1.53,1.53,1.53,1.53,900,0
MBAC-WS.US,5,20211105,205500,1.55,1.55,1.55,1.55,100,0
MBAC-WS.US,5,20211108,153500,1.55,1.55,1.55,1.55,400,0
MBAC-WS.US,5,20211108,161500,1.51,1.51,1.51,1.51,100,0
MBAC-WS.US,5,20211108,190500,1.52,1.52,1.52,1.52,100,0
MBAC-WS.US,5,20211108,195000,1.52,1.52,1.52,1.52,200,0
MBAC-WS.US,5,20211108,203000,1.525,1.525,1.525,1.525,1000,0
MBAC-WS.US,5,20211108,203500,1.55,1.55,1.55,1.55,250,0
MBAC-WS.US,5,20211108,205000,1.5499,1.55,1.5499,1.55,5000,0
MBAC-WS.US,5,20211109,155500,1.6195,1.6195,1.6195,1.6195,4000,0
MBAC-WS.US,5,20211109,162000,1.62,1.62,1.55,1.55,2326,0
MBAC-WS.US,5,20211109,182500,1.6,1.6,1.55,1.55,1408,0
MBAC-WS.US,5,20211109,192500,1.55,1.55,1.55,1.55,200,0
MBAC-WS.US,5,20211109,195000,1.55,1.55,1.55,1.55,379,0
MBAC-WS.US,5,20211109,214500,1.555,1.56,1.535,1.5409,2999,0
MBAC-WS.US,5,20211110,180500,1.66,1.74,1.66,1.66,5000,0
MBAC-WS.US,5,20211110,181000,1.6,1.6,1.6,1.6,1831,0
MBAC-WS.US,5,20211110,185500,1.6899,1.6899,1.6899,1.6899,100,0
MBAC-WS.US,5,20211110,190500,1.645,1.645,1.56,1.56,3547,0
MBAC-WS.US,5,20211110,192500,1.56,1.56,1.56,1.56,2222,0
MBAC-WS.US,5,20211110,202500,1.54,1.54,1.23,1.41,9474,0
MBAC-WS.US,5,20211110,203000,1.44,1.44,1.44,1.44,300,0
MBAC-WS.US,5,20211110,203500,1.48,1.48,1.46,1.48,467,0
MBAC-WS.US,5,20211110,204000,1.5,1.5,1.5,1.5,200,0
MBAC-WS.US,5,20211110,205500,1.5,1.5,1.5,1.5,226,0
MBAC-WS.US,5,20211110,210500,1.5,1.5,1.5,1.5,2500,0
MBAC-WS.US,5,20211110,211500,1.52,1.53,1.52,1.53,490,0
MBAC-WS.US,5,20211111,160500,1.55,1.55,1.55,1.55,1900,0
MBAC-WS.US,5,20211111,164000,1.54,1.54,1.54,1.54,4970,0
MBAC-WS.US,5,20211111,183000,1.53,1.53,1.53,1.53,910,0
MBAC-WS.US,5,20211111,191500,1.53,1.53,1.53,1.53,5000,0
MBAC-WS.US,5,20211111,195000,1.53,1.54,1.53,1.54,491,0
MBAC-WS.US,5,20211111,195500,1.54,1.54,1.54,1.54,4990,0
MBAC-WS.US,5,20211111,201000,1.52,1.56,1.51,1.52,35786,0
MBAC-WS.US,5,20211111,212500,1.53,1.53,1.53,1.53,3000,0
MBAC-WS.US,5,20211111,215500,1.45,1.45,1.45,1.45,5024,0
MBAC-WS.US,5,20211112,170500,1.53,1.53,1.52,1.52,600,0
MBAC-WS.US,5,20211112,172000,1.51,1.51,1.5,1.5,600,0
MBAC-WS.US,5,20211112,180500,1.48,1.48,1.48,1.48,200,0
MBAC-WS.US,5,20211112,185000,1.5,1.5,1.5,1.5,100,0
MBAC-WS.US,5,20211112,203500,1.49,1.49,1.49,1.49,1000,0
MBAC-WS.US,5,20211115,155000,1.53,1.53,1.49,1.49,2788,0
MBAC-WS.US,5,20211115,162000,1.46,1.46,1.46,1.46,1410,0
MBAC-WS.US,5,20211115,163500,1.4,1.4,1.38,1.38,2800,0
MBAC-WS.US,5,20211115,164000,1.42,1.42,1.42,1.42,159,0
MBAC-WS.US,5,20211115,165000,1.42,1.42,1.42,1.42,200,0
MBAC-WS.US,5,20211115,175000,1.46,1.46,1.46,1.46,500,0
MBAC-WS.US,5,20211115,181000,1.46,1.46,1.46,1.46,1796,0
MBAC-WS.US,5,20211115,181500,1.49,1.49,1.49,1.49,100,0
MBAC-WS.US,5,20211115,184000,1.49,1.49,1.49,1.49,430,0
MBAC-WS.US,5,20211115,201500,1.4994,1.5,1.4994,1.5,2010,0
MBAC-WS.US,5,20211115,203500,1.51,1.54,1.51,1.54,3947,0
MBAC-WS.US,5,20211115,204000,1.54,1.54,1.54,1.54,100,0
MBAC-WS.US,5,20211115,204500,1.57,1.57,1.56,1.56,1401,0
MBAC-WS.US,5,20211115,205000,1.57,1.57,1.54,1.54,600,0
