<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MTAL-U.US,5,20211104,143000,11,11,10.25,10.4,3650,0
MTAL-U.US,5,20211104,143500,10.35,10.4,10.35,10.4,200,0
MTAL-U.US,5,20211104,144000,10.3,10.3,10.3,10.3,116,0
MTAL-U.US,5,20211104,144500,10.3,10.3,10.3,10.3,200,0
MTAL-U.US,5,20211104,145000,10.25,10.25,10.25,10.25,1600,0
MTAL-U.US,5,20211104,152000,10.25,10.25,10.25,10.25,750,0
MTAL-U.US,5,20211104,160000,10.2,10.2,10.2,10.2,167,0
MTAL-U.US,5,20211104,202000,10.25,10.25,10.25,10.25,400,0
MTAL-U.US,5,20211104,205500,10.2,10.2,10.2,10.2,2939,0
MTAL-U.US,5,20211105,143000,10.75,10.75,10.55,10.55,900,0
MTAL-U.US,5,20211105,143500,10.5,10.5,10.2,10.25,1500,0
MTAL-U.US,5,20211105,144000,10.2,10.2,10.2,10.2,100,0
MTAL-U.US,5,20211105,153500,10.15,10.15,10.15,10.15,100,0
MTAL-U.US,5,20211105,154000,10.15,10.15,10.15,10.15,100,0
MTAL-U.US,5,20211105,154500,10.1,10.1,10.1,10.1,200,0
MTAL-U.US,5,20211105,155000,10.1,10.1,10.1,10.1,200,0
MTAL-U.US,5,20211105,155500,10.1,10.1,10.1,10.1,200,0
MTAL-U.US,5,20211105,160000,10.1,10.1,10.1,10.1,200,0
MTAL-U.US,5,20211105,160500,10.1,10.1,10.1,10.1,200,0
MTAL-U.US,5,20211105,161000,10.1,10.1,10.1,10.1,200,0
MTAL-U.US,5,20211105,161500,10.1,10.1,10.1,10.1,200,0
MTAL-U.US,5,20211105,162000,10.1,10.1,10.1,10.1,100,0
MTAL-U.US,5,20211105,162500,10.05,10.05,10.05,10.05,200,0
MTAL-U.US,5,20211105,163000,10.05,10.05,10.05,10.05,100,0
MTAL-U.US,5,20211105,163500,10.05,10.05,10.05,10.05,200,0
MTAL-U.US,5,20211105,164000,10.05,10.05,10.05,10.05,100,0
MTAL-U.US,5,20211105,164500,10.05,10.05,10.05,10.05,200,0
MTAL-U.US,5,20211105,165000,10.05,10.05,10.05,10.05,100,0
MTAL-U.US,5,20211105,165500,10.05,10.05,10.05,10.05,200,0
MTAL-U.US,5,20211105,170000,10.05,10.05,10.05,10.05,100,0
MTAL-U.US,5,20211105,170500,10.05,10.05,10.05,10.05,200,0
MTAL-U.US,5,20211105,171000,10.05,10.05,10.05,10.05,100,0
MTAL-U.US,5,20211105,171500,10.05,10.05,10.05,10.05,100,0
MTAL-U.US,5,20211105,172000,10.05,10.05,10.05,10.05,100,0
MTAL-U.US,5,20211105,172500,10.05,10.05,10.05,10.05,100,0
MTAL-U.US,5,20211105,173500,10.05,10.05,10.05,10.05,100,0
