<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NGS.US,5,20211104,143000,11.79,11.79,11.79,11.79,2137,0
NGS.US,5,20211104,145000,11.98,11.98,11.98,11.98,194,0
NGS.US,5,20211104,145500,11.96,11.96,11.96,11.96,100,0
NGS.US,5,20211104,151000,11.94,11.95,11.83,11.89,2835,0
NGS.US,5,20211104,151500,11.89,11.89,11.88,11.88,200,0
NGS.US,5,20211104,152000,11.845,11.885,11.8,11.885,730,0
NGS.US,5,20211104,152500,11.87,11.88,11.7117,11.795,1300,0
NGS.US,5,20211104,153000,11.85,11.85,11.85,11.85,500,0
NGS.US,5,20211104,154000,11.815,11.815,11.815,11.815,100,0
NGS.US,5,20211104,154500,11.8001,11.885,11.8001,11.885,470,0
NGS.US,5,20211104,155000,11.845,11.845,11.845,11.845,100,0
NGS.US,5,20211104,160000,11.85,11.85,11.85,11.85,200,0
NGS.US,5,20211104,160500,11.85,11.85,11.85,11.85,100,0
NGS.US,5,20211104,161000,11.85,11.85,11.85,11.85,100,0
NGS.US,5,20211104,161500,11.82,11.845,11.8,11.83,2600,0
NGS.US,5,20211104,162000,11.865,11.865,11.865,11.865,100,0
NGS.US,5,20211104,162500,11.835,11.835,11.835,11.835,200,0
NGS.US,5,20211104,163000,11.835,11.835,11.835,11.835,100,0
NGS.US,5,20211104,163500,11.835,11.835,11.75,11.79,1569,0
NGS.US,5,20211104,164000,11.7101,11.737,11.7101,11.737,438,0
NGS.US,5,20211104,164500,11.7107,11.745,11.71,11.745,700,0
NGS.US,5,20211104,165500,11.7178,11.745,11.71,11.72,3358,0
NGS.US,5,20211104,170000,11.71,11.71,11.71,11.71,100,0
NGS.US,5,20211104,171500,11.72,11.72,11.72,11.72,300,0
NGS.US,5,20211104,172500,11.6307,11.6307,11.6307,11.6307,1000,0
NGS.US,5,20211104,174000,11.81,11.81,11.81,11.81,100,0
NGS.US,5,20211104,174500,11.81,11.81,11.79,11.8,1700,0
NGS.US,5,20211104,175000,11.8,11.8,11.8,11.8,200,0
NGS.US,5,20211104,175500,11.8,11.8,11.8,11.8,200,0
NGS.US,5,20211104,180000,11.8,11.8,11.79,11.79,200,0
NGS.US,5,20211104,180500,11.79,11.79,11.77,11.77,200,0
NGS.US,5,20211104,182500,11.78,11.78,11.77,11.77,405,0
NGS.US,5,20211104,183000,11.78,11.8654,11.78,11.8654,500,0
NGS.US,5,20211104,185500,11.88,11.9,11.88,11.9,925,0
NGS.US,5,20211104,190000,11.92,11.92,11.92,11.92,100,0
NGS.US,5,20211104,192500,11.915,11.915,11.84,11.84,2791,0
NGS.US,5,20211104,195000,11.935,11.935,11.78,11.78,300,0
NGS.US,5,20211104,200500,11.78,11.89,11.629,11.83,8974,0
NGS.US,5,20211104,201000,11.83,11.83,11.81,11.81,200,0
NGS.US,5,20211104,202500,11.8337,11.8337,11.8337,11.8337,1000,0
NGS.US,5,20211104,204000,11.785,11.825,11.785,11.825,202,0
NGS.US,5,20211104,205000,11.815,11.815,11.815,11.815,100,0
NGS.US,5,20211104,205500,11.75,11.82,11.74,11.74,500,0
NGS.US,5,20211105,143000,11.83,11.83,11.83,11.83,317,0
NGS.US,5,20211105,144000,11.81,11.81,11.81,11.81,100,0
NGS.US,5,20211105,145500,11.81,11.81,11.81,11.81,100,0
NGS.US,5,20211105,150000,11.8,11.81,11.74,11.74,1100,0
NGS.US,5,20211105,150500,11.74,11.81,11.74,11.765,630,0
NGS.US,5,20211105,151000,11.65,11.65,11.65,11.65,100,0
NGS.US,5,20211105,152500,11.88,11.88,11.725,11.725,1300,0
NGS.US,5,20211105,153000,11.8074,11.8173,11.715,11.8173,900,0
NGS.US,5,20211105,154000,11.82,11.82,11.82,11.82,100,0
NGS.US,5,20211105,154500,11.82,11.83,11.82,11.83,1504,0
NGS.US,5,20211105,160000,11.77,11.77,11.77,11.77,100,0
NGS.US,5,20211105,161000,11.7,11.7,11.7,11.7,100,0
NGS.US,5,20211105,163500,11.71,11.71,11.71,11.71,100,0
NGS.US,5,20211105,170500,11.81,11.81,11.81,11.81,100,0
NGS.US,5,20211105,171500,11.815,11.815,11.766,11.766,502,0
NGS.US,5,20211105,173000,11.81,11.825,11.81,11.825,545,0
NGS.US,5,20211105,174500,11.88,11.88,11.88,11.88,100,0
NGS.US,5,20211105,180000,11.835,11.835,11.835,11.835,500,0
NGS.US,5,20211105,181000,11.9,11.9097,11.835,11.9097,857,0
NGS.US,5,20211105,182000,11.91,11.984,11.91,11.984,650,0
NGS.US,5,20211105,185000,12,12.07,12,12.06,1000,0
NGS.US,5,20211105,191500,12.09,12.215,12.09,12.215,2200,0
NGS.US,5,20211105,193000,12.265,12.265,12.265,12.265,100,0
NGS.US,5,20211105,193500,12.215,12.215,12.215,12.215,100,0
NGS.US,5,20211105,195500,12.32,12.32,12.245,12.245,200,0
NGS.US,5,20211105,200000,12.245,12.245,12.245,12.245,100,0
NGS.US,5,20211105,200500,12.245,12.245,12.245,12.245,154,0
NGS.US,5,20211105,201000,12.36,12.36,12.36,12.36,100,0
NGS.US,5,20211105,201500,12.1656,12.1656,12.1656,12.1656,200,0
NGS.US,5,20211105,202000,12.245,12.245,12.245,12.245,271,0
NGS.US,5,20211105,202500,12.3367,12.37,12.25,12.25,3017,0
NGS.US,5,20211105,204000,12.3545,12.3545,12.3545,12.3545,395,0
NGS.US,5,20211105,204500,12.36,12.37,12.315,12.315,834,0
NGS.US,5,20211105,205000,12.37,12.49,12.37,12.49,1355,0
NGS.US,5,20211105,205500,12.49,12.5,12.44,12.44,2665,0
NGS.US,5,20211108,153000,12.5,12.5,12.3901,12.5,8286,0
NGS.US,5,20211108,154500,12.48,12.48,12.48,12.48,200,0
NGS.US,5,20211108,161000,12.4196,12.42,12.4196,12.42,500,0
NGS.US,5,20211108,161500,12.47,12.47,12.47,12.47,100,0
NGS.US,5,20211108,162000,12.43,12.43,12.31,12.31,1180,0
NGS.US,5,20211108,165500,12.18,12.18,12.18,12.18,162,0
NGS.US,5,20211108,171000,12.37,12.37,12.3635,12.3635,200,0
NGS.US,5,20211108,172000,12.295,12.295,12.295,12.295,400,0
NGS.US,5,20211108,174500,12.2686,12.2686,12.2686,12.2686,159,0
NGS.US,5,20211108,175000,12.36,12.36,12.36,12.36,100,0
NGS.US,5,20211108,180000,12.31,12.31,12.31,12.31,800,0
NGS.US,5,20211108,180500,12.3299,12.3299,12.3299,12.3299,100,0
NGS.US,5,20211108,182000,12.25,12.32,12.2,12.265,5400,0
NGS.US,5,20211108,182500,12.2276,12.2276,12.2276,12.2276,100,0
NGS.US,5,20211108,185000,12.2,12.2,12.2,12.2,100,0
NGS.US,5,20211108,192000,12.2,12.24,12.2,12.22,5394,0
NGS.US,5,20211108,192500,12.24,12.24,12.22,12.22,6177,0
NGS.US,5,20211108,193500,12.24,12.35,12.2355,12.2355,5332,0
NGS.US,5,20211108,200500,12.3,12.3,12.26,12.26,660,0
NGS.US,5,20211108,201500,12.325,12.325,12.325,12.325,100,0
NGS.US,5,20211108,203500,12.35,12.35,12.35,12.35,100,0
NGS.US,5,20211108,204000,12.35,12.375,12.35,12.35,1265,0
NGS.US,5,20211108,204500,12.35,12.48,12.35,12.48,1029,0
NGS.US,5,20211108,210500,12.46,12.46,12.46,12.46,100,0
NGS.US,5,20211108,212000,12.46,12.52,12.46,12.52,618,0
NGS.US,5,20211108,213500,12.44,12.48,12.44,12.48,285,0
NGS.US,5,20211108,214000,12.435,12.435,12.435,12.435,100,0
NGS.US,5,20211108,214500,12.49,12.49,12.48,12.49,300,0
NGS.US,5,20211108,215000,12.57,12.57,12.57,12.57,100,0
NGS.US,5,20211108,215500,12.5,12.64,12.46,12.64,4112,0
NGS.US,5,20211109,153000,12.63,12.63,12.63,12.63,368,0
NGS.US,5,20211109,153500,12.61,12.61,12.61,12.61,200,0
NGS.US,5,20211109,162000,12.76,12.76,12.6613,12.6613,840,0
NGS.US,5,20211109,162500,12.4851,12.4851,12.4851,12.4851,1000,0
NGS.US,5,20211109,163000,12.4761,12.4761,12.4761,12.4761,1000,0
NGS.US,5,20211109,173500,12.565,12.68,12.565,12.68,750,0
NGS.US,5,20211109,192500,12.45,12.45,12.43,12.43,290,0
NGS.US,5,20211109,195000,12.384,12.4,12.38,12.4,324,0
NGS.US,5,20211109,195500,12.4,12.4,12.4,12.4,300,0
NGS.US,5,20211109,202500,12.395,12.395,12.395,12.395,100,0
NGS.US,5,20211109,205000,12.37,12.37,12.305,12.305,7038,0
NGS.US,5,20211109,205500,12.295,12.295,12.295,12.295,300,0
NGS.US,5,20211109,210500,12.34,12.35,12.33,12.35,2200,0
NGS.US,5,20211109,211500,12.33,12.33,12.33,12.33,100,0
NGS.US,5,20211109,212500,12.26,12.32,12.24,12.25,2208,0
NGS.US,5,20211109,213000,12.32,12.32,12.24,12.24,500,0
NGS.US,5,20211109,213500,12.28,12.49,12.28,12.49,3500,0
NGS.US,5,20211109,214000,12.48,12.48,12.48,12.48,100,0
NGS.US,5,20211109,214500,12.43,12.43,12.42,12.42,200,0
NGS.US,5,20211109,215000,12.4,12.42,12.4,12.4,400,0
NGS.US,5,20211109,215500,12.4,12.48,12.4,12.47,3377,0
NGS.US,5,20211110,154000,12.3203,12.37,12.3203,12.37,700,0
NGS.US,5,20211110,161000,12.36,12.39,12.31,12.335,1168,0
NGS.US,5,20211110,161500,12.3,12.37,12.3,12.3,2000,0
NGS.US,5,20211110,162000,12.3,12.3,12.3,12.3,700,0
NGS.US,5,20211110,164000,12.3,12.305,12.3,12.305,200,0
NGS.US,5,20211110,164500,12.31,12.31,12.31,12.31,300,0
NGS.US,5,20211110,170000,12.4,12.4,12.4,12.4,100,0
NGS.US,5,20211110,170500,12.31,12.31,12.31,12.31,286,0
NGS.US,5,20211110,185000,12.3,12.31,12.25,12.25,2200,0
NGS.US,5,20211110,190500,12.3,12.3,12.24,12.24,200,0
NGS.US,5,20211110,191500,12.29,12.3,12.29,12.3,500,0
NGS.US,5,20211110,192000,12.13,12.28,12.07,12.28,1300,0
NGS.US,5,20211110,194000,12.23,12.23,12.16,12.2027,460,0
NGS.US,5,20211110,194500,12.21,12.21,12.21,12.21,200,0
NGS.US,5,20211110,195000,12.21,12.21,12.21,12.21,100,0
NGS.US,5,20211110,200500,12.11,12.11,12.11,12.11,500,0
NGS.US,5,20211110,202000,12.15,12.15,12.15,12.15,100,0
NGS.US,5,20211110,202500,12.1699,12.1699,12.1699,12.1699,200,0
NGS.US,5,20211110,204000,12.1245,12.1245,12.1245,12.1245,100,0
NGS.US,5,20211110,210500,12.19,12.19,12.19,12.19,100,0
NGS.US,5,20211110,211000,12.17,12.26,12.17,12.26,1581,0
NGS.US,5,20211110,211500,12.15,12.296,12.15,12.296,770,0
NGS.US,5,20211110,212500,12.22,12.22,12.22,12.22,200,0
NGS.US,5,20211110,213500,12.27,12.33,12.22,12.22,1014,0
NGS.US,5,20211110,214000,12.32,12.33,12.32,12.33,200,0
NGS.US,5,20211110,214500,12.32,12.32,12.2524,12.265,3040,0
NGS.US,5,20211110,215000,12.265,12.32,12.265,12.32,1100,0
NGS.US,5,20211110,215500,12.2206,12.44,12.22,12.34,6180,0
NGS.US,5,20211111,153000,12.61,12.61,12.61,12.61,1039,0
NGS.US,5,20211111,155000,12.58,12.58,12.58,12.58,544,0
NGS.US,5,20211111,155500,12.51,12.585,12.3902,12.585,5195,0
NGS.US,5,20211111,163000,12.74,12.74,12.67,12.67,5089,0
NGS.US,5,20211111,165000,12.62,12.66,12.62,12.66,500,0
NGS.US,5,20211111,170000,12.72,12.72,12.72,12.72,100,0
NGS.US,5,20211111,171500,12.73,12.73,12.73,12.73,150,0
NGS.US,5,20211111,173500,12.5,12.69,12.5,12.69,350,0
NGS.US,5,20211111,174500,12.54,12.54,12.54,12.54,4800,0
NGS.US,5,20211111,175500,12.54,12.54,12.54,12.54,300,0
NGS.US,5,20211111,180000,12.65,12.65,12.625,12.625,200,0
NGS.US,5,20211111,180500,12.61,12.62,12.61,12.61,400,0
NGS.US,5,20211111,181000,12.61,12.61,12.61,12.61,100,0
NGS.US,5,20211111,181500,12.61,12.61,12.61,12.61,498,0
NGS.US,5,20211111,182500,12.63,12.63,12.61,12.61,1150,0
NGS.US,5,20211111,183500,12.63,12.63,12.63,12.63,199,0
NGS.US,5,20211111,184000,12.63,12.63,12.63,12.63,1787,0
NGS.US,5,20211111,185000,12.64,12.64,12.63,12.63,1082,0
NGS.US,5,20211111,190000,12.63,12.63,12.63,12.63,100,0
NGS.US,5,20211111,190500,12.62,12.62,12.6,12.6,400,0
NGS.US,5,20211111,191000,12.58,12.58,12.58,12.58,100,0
NGS.US,5,20211111,194500,12.595,12.595,12.595,12.595,100,0
NGS.US,5,20211111,195500,12.55,12.55,12.55,12.55,100,0
NGS.US,5,20211111,200500,12.54,12.54,12.53,12.53,491,0
NGS.US,5,20211111,205000,12.46,12.46,12.46,12.46,100,0
NGS.US,5,20211111,205500,12.46,12.46,12.46,12.46,100,0
