<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RIGZ.US,5,20211104,143000,49.09,49.09,49.09,49.09,1137,0
RIGZ.US,5,20211104,144000,49.3199,49.3199,49.3199,49.3199,100,0
RIGZ.US,5,20211104,145500,49.99,49.99,49.9199,49.9199,402,0
RIGZ.US,5,20211104,150000,49.822,50.16,49.822,50.11,2080,0
RIGZ.US,5,20211104,150500,50.41,50.41,50.41,50.41,100,0
RIGZ.US,5,20211104,151500,50.17,50.17,50.17,50.17,898,0
RIGZ.US,5,20211104,152000,50.14,50.14,49.9,49.98,4640,0
RIGZ.US,5,20211104,152500,49.915,49.915,49.7699,49.7699,501,0
RIGZ.US,5,20211104,153000,49.6095,49.95,49.6095,49.95,400,0
RIGZ.US,5,20211104,153500,49.94,49.94,49.94,49.94,100,0
RIGZ.US,5,20211104,154000,49.4428,49.4428,49.4428,49.4428,300,0
RIGZ.US,5,20211104,154500,49.5,49.5,49.5,49.5,150,0
RIGZ.US,5,20211104,155000,49.5,49.5247,49.5,49.5,4119,0
RIGZ.US,5,20211104,155500,49.36,49.36,49.33,49.35,3650,0
RIGZ.US,5,20211104,160000,49.2,49.2,49.2,49.2,100,0
RIGZ.US,5,20211104,160500,49,49.0001,49,49,1042,0
RIGZ.US,5,20211104,161500,49,49,48.59,48.59,202,0
RIGZ.US,5,20211104,162000,48.5,48.5,48.15,48.19,904,0
RIGZ.US,5,20211104,162500,48.31,48.31,48.17,48.17,546,0
RIGZ.US,5,20211104,164000,48.495,48.495,48.495,48.495,100,0
RIGZ.US,5,20211104,164500,48.29,48.29,48.29,48.29,100,0
RIGZ.US,5,20211104,165500,48.7599,48.7599,48.7599,48.7599,512,0
RIGZ.US,5,20211104,171000,48.79,48.79,48.79,48.79,1250,0
RIGZ.US,5,20211104,175000,48.91,48.91,48.91,48.91,100,0
RIGZ.US,5,20211104,183500,48.64,48.64,48.64,48.64,200,0
RIGZ.US,5,20211104,184500,48.7799,48.7799,48.7799,48.7799,250,0
RIGZ.US,5,20211104,185000,48.57,48.57,48.57,48.57,100,0
RIGZ.US,5,20211104,190000,48.62,48.62,48.62,48.62,100,0
RIGZ.US,5,20211104,191000,48.56,48.56,48.56,48.56,150,0
RIGZ.US,5,20211104,191500,48.78,48.78,48.78,48.78,100,0
RIGZ.US,5,20211104,194000,48.98,48.98,48.98,48.98,150,0
RIGZ.US,5,20211104,195000,49,49,49,49,1100,0
RIGZ.US,5,20211104,201000,48.6127,48.6127,48.6127,48.6127,100,0
RIGZ.US,5,20211104,202000,48.78,48.92,48.78,48.92,950,0
RIGZ.US,5,20211104,202500,48.93,48.93,48.93,48.93,1157,0
RIGZ.US,5,20211104,203500,48.8343,48.8343,48.8343,48.8343,100,0
RIGZ.US,5,20211104,205500,49.01,49.16,49.01,49.16,700,0
RIGZ.US,5,20211105,143000,49.46,49.46,49.46,49.46,240,0
RIGZ.US,5,20211105,145000,49.51,49.515,49.51,49.51,500,0
RIGZ.US,5,20211105,145500,49.1107,49.2,49.1107,49.16,583,0
RIGZ.US,5,20211105,150000,49.439,49.439,49.4,49.4,605,0
RIGZ.US,5,20211105,150500,49.62,49.62,49.62,49.62,200,0
RIGZ.US,5,20211105,152000,49.245,49.245,48.71,48.8315,3100,0
RIGZ.US,5,20211105,152500,48.665,48.665,48.665,48.665,1000,0
RIGZ.US,5,20211105,153500,48.85,48.85,48.21,48.26,799,0
RIGZ.US,5,20211105,154000,48.21,48.21,48.21,48.21,500,0
RIGZ.US,5,20211105,160500,48.24,48.24,48.22,48.22,201,0
RIGZ.US,5,20211105,161500,48.355,48.62,48.355,48.62,490,0
RIGZ.US,5,20211105,162000,48.31,48.31,48.31,48.31,124,0
RIGZ.US,5,20211105,162500,48.405,48.405,48.405,48.405,100,0
RIGZ.US,5,20211105,163000,48.425,48.425,48.425,48.425,100,0
RIGZ.US,5,20211105,165000,48.335,48.335,48.335,48.335,413,0
RIGZ.US,5,20211105,170000,48.34,48.34,48.34,48.34,208,0
RIGZ.US,5,20211105,170500,48.23,48.24,48.22,48.22,2924,0
RIGZ.US,5,20211105,171500,48.1436,48.23,48.1436,48.23,700,0
RIGZ.US,5,20211105,172000,48.46,48.46,48.46,48.46,100,0
RIGZ.US,5,20211105,173500,48.42,48.42,48.42,48.42,100,0
RIGZ.US,5,20211105,175000,48.8699,48.8699,48.8699,48.8699,100,0
RIGZ.US,5,20211105,175500,48.95,48.95,48.7666,48.7666,300,0
RIGZ.US,5,20211105,181500,48.65,48.65,48.65,48.65,100,0
RIGZ.US,5,20211105,182000,48.67,48.67,48.67,48.67,225,0
RIGZ.US,5,20211105,182500,48.34,48.34,48.34,48.34,200,0
RIGZ.US,5,20211105,183500,48.49,48.49,48.49,48.49,300,0
RIGZ.US,5,20211105,193500,48.695,48.695,48.695,48.695,100,0
RIGZ.US,5,20211105,195500,48.89,48.89,48.7687,48.7687,200,0
RIGZ.US,5,20211105,202500,48.41,48.41,48.41,48.41,100,0
RIGZ.US,5,20211105,203000,48.58,48.645,48.58,48.645,370,0
RIGZ.US,5,20211105,203500,48.83,48.83,48.76,48.76,200,0
RIGZ.US,5,20211105,204500,48.91,48.91,48.8313,48.8313,200,0
RIGZ.US,5,20211108,153000,51.25,52.35,51,52.299,6142,0
RIGZ.US,5,20211108,153500,52.2485,52.28,52.14,52.14,950,0
RIGZ.US,5,20211108,154000,52.035,52.05,51.4705,51.64,5243,0
RIGZ.US,5,20211108,154500,51.42,52.42,51.42,52.42,767,0
RIGZ.US,5,20211108,155000,52.58,52.76,52.325,52.6,1694,0
RIGZ.US,5,20211108,160000,51.782,51.782,51.782,51.782,400,0
RIGZ.US,5,20211108,161000,52.38,52.38,52.16,52.163,418,0
RIGZ.US,5,20211108,161500,52.59,52.59,52.33,52.33,500,0
RIGZ.US,5,20211108,162000,52.58,52.58,52.58,52.58,100,0
RIGZ.US,5,20211108,162500,52.69,52.69,52.69,52.69,495,0
RIGZ.US,5,20211108,163000,52.5,52.5,52.5,52.5,490,0
