<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RNR_G.US,5,20211104,143000,25.25,25.25,25.25,25.25,404,0
RNR_G.US,5,20211104,144000,25.21,25.21,25.21,25.21,100,0
RNR_G.US,5,20211104,144500,25.2,25.21,25.2,25.21,499,0
RNR_G.US,5,20211104,145000,25.21,25.21,25.2,25.2,599,0
RNR_G.US,5,20211104,145500,25.2,25.22,25.2,25.22,696,0
RNR_G.US,5,20211104,150000,25.21,25.21,25.2,25.2,400,0
RNR_G.US,5,20211104,150500,25.2,25.2,25.2,25.2,100,0
RNR_G.US,5,20211104,151000,25.2,25.2,25.2,25.2,400,0
RNR_G.US,5,20211104,151500,25.2,25.2,25.2,25.2,500,0
RNR_G.US,5,20211104,152500,25.2,25.2,25.2,25.2,100,0
RNR_G.US,5,20211104,153000,25.2,25.2,25.2,25.2,2000,0
RNR_G.US,5,20211104,153500,25.24,25.26,25.24,25.26,885,0
RNR_G.US,5,20211104,160000,25.23,25.23,25.21,25.21,1200,0
RNR_G.US,5,20211104,160500,25.23,25.23,25.23,25.23,100,0
RNR_G.US,5,20211104,161000,25.21,25.23,25.21,25.23,516,0
RNR_G.US,5,20211104,161500,25.23,25.23,25.23,25.23,100,0
RNR_G.US,5,20211104,162500,25.23,25.23,25.21,25.21,600,0
RNR_G.US,5,20211104,163500,25.21,25.21,25.21,25.21,287,0
RNR_G.US,5,20211104,164000,25.21,25.21,25.21,25.21,300,0
RNR_G.US,5,20211104,165500,25.22,25.22,25.21,25.21,300,0
RNR_G.US,5,20211104,170000,25.24,25.25,25.24,25.25,1280,0
RNR_G.US,5,20211104,173500,25.235,25.25,25.235,25.25,900,0
RNR_G.US,5,20211104,182000,25.25,25.25,25.25,25.25,1248,0
RNR_G.US,5,20211104,184500,25.255,25.255,25.25,25.25,1900,0
RNR_G.US,5,20211104,190000,25.25,25.254,25.25,25.254,238,0
RNR_G.US,5,20211104,192500,25.267,25.267,25.267,25.267,418,0
RNR_G.US,5,20211104,193500,25.25,25.25,25.25,25.25,100,0
RNR_G.US,5,20211104,194000,25.25,25.25,25.25,25.25,692,0
RNR_G.US,5,20211104,194500,25.26,25.26,25.25,25.25,702,0
RNR_G.US,5,20211104,202000,25.25,25.25,25.25,25.25,100,0
RNR_G.US,5,20211104,203000,25.25,25.25,25.25,25.25,100,0
RNR_G.US,5,20211104,204500,25.2799,25.2799,25.2799,25.2799,300,0
RNR_G.US,5,20211104,205000,25.23,25.26,25.225,25.225,900,0
RNR_G.US,5,20211104,205500,25.2999,25.2999,25.2999,25.2999,199,0
RNR_G.US,5,20211105,143000,25.3,25.3,25.3,25.3,546,0
RNR_G.US,5,20211105,144500,25.31,25.31,25.31,25.31,1294,0
RNR_G.US,5,20211105,145000,25.31,25.31,25.31,25.31,421,0
RNR_G.US,5,20211105,150500,25.3,25.3,25.3,25.3,135,0
RNR_G.US,5,20211105,151500,25.3,25.3,25.3,25.3,100,0
RNR_G.US,5,20211105,153000,25.3,25.3,25.25,25.25,3723,0
RNR_G.US,5,20211105,154000,25.28,25.28,25.25,25.25,2548,0
RNR_G.US,5,20211105,155500,25.32,25.32,25.26,25.26,1506,0
RNR_G.US,5,20211105,160500,25.295,25.32,25.295,25.32,300,0
RNR_G.US,5,20211105,163500,25.31,25.31,25.31,25.31,104,0
RNR_G.US,5,20211105,164500,25.27,25.27,25.27,25.27,200,0
RNR_G.US,5,20211105,170500,25.26,25.27,25.26,25.26,1145,0
RNR_G.US,5,20211105,171500,25.26,25.26,25.26,25.26,294,0
RNR_G.US,5,20211105,173500,25.2993,25.2993,25.2993,25.2993,625,0
RNR_G.US,5,20211105,183500,25.2999,25.2999,25.2999,25.2999,105,0
RNR_G.US,5,20211105,185000,25.295,25.295,25.295,25.295,100,0
RNR_G.US,5,20211105,191000,25.2865,25.3,25.28,25.3,448,0
RNR_G.US,5,20211105,201000,25.31,25.31,25.31,25.31,300,0
RNR_G.US,5,20211105,203000,25.32,25.32,25.31,25.31,773,0
