<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSPQ-U.US,5,20211104,191500,9.98,9.98,9.98,9.98,100,0
TSPQ-U.US,5,20211104,192000,9.98,9.98,9.98,9.98,300,0
TSPQ-U.US,5,20211104,192500,9.98,9.98,9.98,9.98,500,0
TSPQ-U.US,5,20211104,193000,9.98,9.98,9.98,9.98,400,0
TSPQ-U.US,5,20211104,193500,9.98,9.98,9.98,9.98,500,0
TSPQ-U.US,5,20211104,194000,9.98,9.98,9.98,9.98,400,0
TSPQ-U.US,5,20211104,194500,9.98,9.98,9.98,9.98,600,0
TSPQ-U.US,5,20211104,195000,9.98,9.98,9.98,9.98,300,0
TSPQ-U.US,5,20211104,195500,9.98,9.98,9.98,9.98,500,0
TSPQ-U.US,5,20211104,200000,9.98,9.98,9.98,9.98,500,0
TSPQ-U.US,5,20211104,200500,9.98,9.98,9.98,9.98,500,0
TSPQ-U.US,5,20211104,201000,9.98,9.98,9.98,9.98,300,0
TSPQ-U.US,5,20211105,174000,9.9641,9.9641,9.9641,9.9641,3110,0
TSPQ-U.US,5,20211108,160500,9.97,9.98,9.97,9.98,20600,0
TSPQ-U.US,5,20211108,161000,9.98,9.98,9.98,9.98,100,0
TSPQ-U.US,5,20211108,191000,9.98,9.98,9.98,9.98,9800,0
TSPQ-U.US,5,20211108,193500,9.98,9.98,9.975,9.98,4000,0
TSPQ-U.US,5,20211108,203500,9.97,9.97,9.97,9.97,400,0
TSPQ-U.US,5,20211108,204000,9.97,9.97,9.97,9.97,400,0
TSPQ-U.US,5,20211108,204500,9.97,9.97,9.97,9.97,400,0
TSPQ-U.US,5,20211108,205000,9.975,9.98,9.97,9.98,6751,0
TSPQ-U.US,5,20211108,210000,9.98,9.98,9.98,9.98,100,0
TSPQ-U.US,5,20211108,210500,9.98,9.98,9.98,9.98,400,0
TSPQ-U.US,5,20211108,211000,9.98,9.98,9.98,9.98,400,0
TSPQ-U.US,5,20211108,211500,9.98,9.98,9.98,9.98,500,0
TSPQ-U.US,5,20211108,212000,9.98,9.98,9.98,9.98,500,0
TSPQ-U.US,5,20211108,212500,9.98,9.98,9.98,9.98,300,0
TSPQ-U.US,5,20211108,213000,9.98,9.98,9.98,9.98,600,0
TSPQ-U.US,5,20211108,213500,9.98,9.98,9.98,9.98,700,0
TSPQ-U.US,5,20211108,214000,9.98,9.98,9.98,9.98,900,0
TSPQ-U.US,5,20211108,214500,9.98,9.98,9.98,9.98,1000,0
TSPQ-U.US,5,20211108,215000,9.98,9.98,9.98,9.98,1500,0
TSPQ-U.US,5,20211108,215500,9.98,9.98,9.98,9.98,4294,0
TSPQ-U.US,5,20211109,153000,9.93,9.93,9.93,9.93,500,0
TSPQ-U.US,5,20211109,182000,9.97,9.97,9.97,9.97,200,0
TSPQ-U.US,5,20211109,182500,9.97,9.97,9.97,9.97,350,0
TSPQ-U.US,5,20211109,203000,9.95,9.95,9.95,9.95,30000,0
TSPQ-U.US,5,20211116,153000,9.99,10,9.99,10,745,0
TSPQ-U.US,5,20211116,194000,9.98,9.995,9.97,9.99,342500,0
TSPQ-U.US,5,20211116,200000,9.995,9.995,9.995,9.995,100,0
TSPQ-U.US,5,20211116,214000,9.995,9.995,9.995,9.995,100,0
TSPQ-U.US,5,20211116,215500,10,10,9.99,10,5300,0
TSPQ-U.US,5,20211117,183500,10,10,10,10,5000,0
TSPQ-U.US,5,20211117,184000,9.96,9.96,9.96,9.96,200,0
TSPQ-U.US,5,20211117,203000,9.9801,9.9801,9.9801,9.9801,500,0
TSPQ-U.US,5,20211117,213000,10,10,10,10,10000,0
TSPQ-U.US,5,20211117,215500,9.995,9.995,9.9875,9.995,2000,0
