<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TY.US,5,20211104,143000,35.29,35.29,35.29,35.29,1475,0
TY.US,5,20211104,143500,35.3666,35.3666,35.3666,35.3666,125,0
TY.US,5,20211104,144500,35.27,35.27,35.27,35.27,200,0
TY.US,5,20211104,145000,35.36,35.38,35.36,35.38,400,0
TY.US,5,20211104,150500,35.46,35.46,35.41,35.41,1039,0
TY.US,5,20211104,151000,35.41,35.41,35.38,35.3817,2497,0
TY.US,5,20211104,151500,35.43,35.478,35.42,35.465,5518,0
TY.US,5,20211104,152000,35.475,35.49,35.475,35.49,1156,0
TY.US,5,20211104,152500,35.451,35.451,35.451,35.451,300,0
TY.US,5,20211104,153000,35.45,35.45,35.45,35.45,635,0
TY.US,5,20211104,154500,35.4,35.401,35.4,35.4,2719,0
TY.US,5,20211104,155000,35.41,35.41,35.398,35.398,904,0
TY.US,5,20211104,155500,35.39,35.39,35.37,35.37,659,0
TY.US,5,20211104,160500,35.36,35.37,35.36,35.37,1410,0
TY.US,5,20211104,161500,35.37,35.37,35.37,35.37,500,0
TY.US,5,20211104,162000,35.34,35.34,35.3,35.3115,1344,0
TY.US,5,20211104,162500,35.2936,35.2936,35.2936,35.2936,285,0
TY.US,5,20211104,163000,35.2833,35.31,35.2833,35.31,884,0
TY.US,5,20211104,163500,35.325,35.325,35.325,35.325,330,0
TY.US,5,20211104,164500,35.32,35.34,35.32,35.34,700,0
TY.US,5,20211104,165500,35.35,35.35,35.32,35.32,700,0
TY.US,5,20211104,170500,35.37,35.37,35.37,35.37,1566,0
TY.US,5,20211104,171000,35.3987,35.4001,35.342,35.342,2739,0
TY.US,5,20211104,171500,35.34,35.34,35.335,35.34,400,0
TY.US,5,20211104,174500,35.34,35.34,35.34,35.34,210,0
TY.US,5,20211104,175000,35.35,35.3644,35.35,35.3644,300,0
TY.US,5,20211104,180000,35.37,35.37,35.37,35.37,892,0
TY.US,5,20211104,180500,35.35,35.35,35.35,35.35,250,0
TY.US,5,20211104,182500,35.37,35.37,35.365,35.37,550,0
TY.US,5,20211104,183000,35.3736,35.3736,35.37,35.37,262,0
TY.US,5,20211104,184000,35.3763,35.38,35.375,35.38,600,0
TY.US,5,20211104,184500,35.3629,35.3629,35.3629,35.3629,116,0
TY.US,5,20211104,185500,35.365,35.38,35.365,35.365,309,0
TY.US,5,20211104,190500,35.3798,35.3798,35.3798,35.3798,172,0
TY.US,5,20211104,191000,35.36,35.3601,35.35,35.35,314,0
TY.US,5,20211104,192000,35.3499,35.3499,35.3352,35.34,844,0
TY.US,5,20211104,192500,35.345,35.345,35.33,35.33,867,0
TY.US,5,20211104,193000,35.35,35.35,35.3121,35.3121,1430,0
TY.US,5,20211104,193500,35.3121,35.3121,35.3121,35.3121,200,0
TY.US,5,20211104,194000,35.3299,35.3299,35.3,35.3,874,0
TY.US,5,20211104,194500,35.3,35.3,35.3,35.3,300,0
TY.US,5,20211104,195500,35.3,35.3,35.29,35.29,1100,0
TY.US,5,20211104,200000,35.29,35.31,35.29,35.3,10317,0
TY.US,5,20211104,201000,35.324,35.3282,35.32,35.32,549,0
TY.US,5,20211104,202500,35.2997,35.2997,35.2997,35.2997,297,0
TY.US,5,20211104,203000,35.29,35.29,35.29,35.29,425,0
TY.US,5,20211104,204500,35.2802,35.2802,35.2802,35.2802,290,0
TY.US,5,20211104,205500,35.2994,35.31,35.28,35.28,955,0
TY.US,5,20211105,143000,35.46,35.46,35.405,35.405,1635,0
TY.US,5,20211105,143500,35.55,35.58,35.55,35.58,400,0
TY.US,5,20211105,145000,35.5993,35.5993,35.5993,35.5993,280,0
TY.US,5,20211105,145500,35.58,35.58,35.58,35.58,126,0
TY.US,5,20211105,150000,35.6422,35.6422,35.6422,35.6422,150,0
TY.US,5,20211105,152500,35.5114,35.5114,35.5114,35.5114,108,0
TY.US,5,20211105,153500,35.57,35.57,35.57,35.57,1000,0
TY.US,5,20211105,160000,35.5007,35.5007,35.5007,35.5007,421,0
TY.US,5,20211105,164000,35.57,35.61,35.5407,35.55,1650,0
TY.US,5,20211105,164500,35.5401,35.5401,35.5401,35.5401,1500,0
TY.US,5,20211105,165000,35.575,35.575,35.575,35.575,634,0
TY.US,5,20211105,165500,35.54,35.5417,35.53,35.53,1056,0
TY.US,5,20211105,170000,35.5,35.53,35.5,35.53,3141,0
TY.US,5,20211105,172500,35.5,35.5,35.5,35.5,100,0
TY.US,5,20211105,174000,35.5,35.5,35.485,35.485,331,0
TY.US,5,20211105,175000,35.47,35.47,35.47,35.47,200,0
TY.US,5,20211105,181500,35.455,35.455,35.455,35.455,138,0
TY.US,5,20211105,182500,35.4794,35.4794,35.4794,35.4794,323,0
TY.US,5,20211105,185000,35.3202,35.3202,35.3202,35.3202,300,0
TY.US,5,20211105,185500,35.3615,35.3615,35.3615,35.3615,100,0
TY.US,5,20211105,190500,35.41,35.41,35.41,35.41,200,0
TY.US,5,20211105,195000,35.4591,35.4591,35.4591,35.4591,200,0
TY.US,5,20211105,195500,35.46,35.47,35.4344,35.47,500,0
TY.US,5,20211105,200000,35.43,35.43,35.43,35.43,100,0
TY.US,5,20211105,200500,35.49,35.49,35.41,35.41,272,0
TY.US,5,20211105,203500,35.47,35.47,35.47,35.47,200,0
TY.US,5,20211105,204000,35.45,35.45,35.45,35.45,200,0
TY.US,5,20211105,204500,35.4334,35.44,35.41,35.43,2125,0
TY.US,5,20211105,205500,35.4018,35.4795,35.4018,35.45,2223,0
TY.US,5,20211108,153000,35.62,35.62,35.46,35.46,3786,0
TY.US,5,20211108,153500,35.6943,35.6943,35.6943,35.6943,551,0
TY.US,5,20211108,161500,35.68,35.68,35.68,35.68,157,0
TY.US,5,20211108,162000,35.71,35.71,35.71,35.71,100,0
TY.US,5,20211108,163000,35.675,35.73,35.654,35.654,599,0
TY.US,5,20211108,163500,35.749,35.749,35.74,35.74,548,0
TY.US,5,20211108,165000,35.74,35.7497,35.725,35.74,556,0
TY.US,5,20211108,170000,35.68,35.68,35.68,35.68,200,0
TY.US,5,20211108,171500,35.67,35.6714,35.64,35.64,4010,0
TY.US,5,20211108,172000,35.65,35.65,35.64,35.65,3218,0
TY.US,5,20211108,172500,35.68,35.6999,35.68,35.6999,800,0
TY.US,5,20211108,173000,35.695,35.705,35.695,35.705,833,0
TY.US,5,20211108,173500,35.7,35.7007,35.7,35.7007,3269,0
TY.US,5,20211108,174000,35.6038,35.6496,35.6038,35.6496,938,0
TY.US,5,20211108,180000,35.67,35.67,35.66,35.66,724,0
TY.US,5,20211108,180500,35.63,35.63,35.55,35.621,1458,0
TY.US,5,20211108,182000,35.6,35.6,35.6,35.6,100,0
TY.US,5,20211108,182500,35.65,35.65,35.64,35.64,200,0
TY.US,5,20211108,184000,35.6605,35.6605,35.6605,35.6605,500,0
TY.US,5,20211108,184500,35.67,35.7,35.67,35.7,500,0
TY.US,5,20211108,185000,35.7099,35.71,35.7,35.71,2706,0
TY.US,5,20211108,185500,35.7,35.7005,35.7,35.7005,522,0
TY.US,5,20211108,190000,35.675,35.69,35.675,35.69,300,0
TY.US,5,20211108,190500,35.69,35.69,35.69,35.69,200,0
TY.US,5,20211108,191000,35.69,35.69,35.69,35.69,198,0
TY.US,5,20211108,191500,35.65,35.65,35.65,35.65,470,0
TY.US,5,20211108,193000,35.679,35.679,35.679,35.679,100,0
TY.US,5,20211108,193500,35.66,35.69,35.66,35.69,400,0
TY.US,5,20211108,194000,35.68,35.68,35.68,35.68,100,0
TY.US,5,20211108,194500,35.685,35.6899,35.685,35.6899,463,0
TY.US,5,20211108,195500,35.69,35.69,35.69,35.69,100,0
TY.US,5,20211108,200000,35.69,35.6901,35.69,35.6901,450,0
TY.US,5,20211108,200500,35.7,35.7001,35.69,35.7001,2553,0
TY.US,5,20211108,201000,35.66,35.66,35.66,35.66,2000,0
TY.US,5,20211108,201500,35.6718,35.6718,35.64,35.65,800,0
TY.US,5,20211108,203000,35.635,35.635,35.635,35.635,400,0
TY.US,5,20211108,203500,35.64,35.64,35.64,35.64,300,0
TY.US,5,20211108,204000,35.63,35.6587,35.63,35.6587,600,0
TY.US,5,20211108,205000,35.655,35.66,35.655,35.66,752,0
TY.US,5,20211108,205500,35.67,35.68,35.67,35.68,601,0
TY.US,5,20211108,210000,35.69,35.7,35.69,35.7,1050,0
TY.US,5,20211108,211000,35.705,35.71,35.705,35.71,300,0
TY.US,5,20211108,211500,35.7101,35.7101,35.7101,35.7101,200,0
TY.US,5,20211108,212500,35.71,35.71,35.7,35.7,524,0
TY.US,5,20211108,213000,35.69,35.7,35.69,35.7,620,0
TY.US,5,20211108,214000,35.68,35.68,35.68,35.68,100,0
TY.US,5,20211108,214500,35.675,35.675,35.675,35.675,280,0
TY.US,5,20211108,215000,35.68,35.68,35.68,35.68,100,0
TY.US,5,20211108,215500,35.68,35.69,35.68,35.68,877,0
TY.US,5,20211109,153000,35.65,35.65,35.65,35.65,119,0
TY.US,5,20211109,155000,35.675,35.675,35.675,35.675,158,0
TY.US,5,20211109,155500,35.64,35.64,35.6,35.6,1360,0
TY.US,5,20211109,160000,35.59,35.59,35.54,35.55,800,0
TY.US,5,20211109,164500,35.655,35.655,35.65,35.65,996,0
TY.US,5,20211109,170000,35.64,35.64,35.64,35.64,100,0
TY.US,5,20211109,171000,35.64,35.64,35.615,35.63,1247,0
TY.US,5,20211109,172500,35.62,35.62,35.61,35.61,1397,0
TY.US,5,20211109,174500,35.624,35.624,35.61,35.61,1125,0
TY.US,5,20211109,175000,35.61,35.61,35.61,35.61,191,0
TY.US,5,20211109,180000,35.61,35.61,35.61,35.61,277,0
TY.US,5,20211109,181000,35.575,35.575,35.575,35.575,100,0
TY.US,5,20211109,182500,35.61,35.63,35.605,35.6299,1773,0
TY.US,5,20211109,183000,35.64,35.65,35.64,35.65,781,0
TY.US,5,20211109,183500,35.65,35.65,35.65,35.65,200,0
TY.US,5,20211109,184000,35.66,35.66,35.66,35.66,873,0
TY.US,5,20211109,184500,35.6652,35.6652,35.66,35.66,2511,0
TY.US,5,20211109,185000,35.67,35.6702,35.67,35.6702,1042,0
TY.US,5,20211109,185500,35.665,35.678,35.665,35.678,690,0
